date,government surveillance articles,government monitoring social media
2011-01-01,0,26
2011-02-01,28,28
2011-03-01,25,25
2011-04-01,54,27
2011-05-01,25,38
2011-06-01,29,26
2011-07-01,33,31
2011-08-01,36,36
2011-09-01,23,40
2011-10-01,23,45
2011-11-01,22,34
2011-12-01,22,22
2012-01-01,41,21
2012-02-01,21,35
2012-03-01,20,20
2012-04-01,42,21
2012-05-01,29,26
2012-06-01,20,30
2012-07-01,20,60
2012-08-01,20,30
2012-09-01,20,20
2012-10-01,18,18
2012-11-01,18,18
2012-12-01,18,18
2013-01-01,23,27
2013-02-01,27,54
2013-03-01,32,16
2013-04-01,44,22
2013-05-01,24,24
2013-06-01,33,71
2013-07-01,16,32
2013-08-01,32,32
2013-09-01,31,16
2013-10-01,52,30
2013-11-01,40,40
2013-12-01,35,50
2014-01-01,47,23
2014-02-01,20,21
2014-03-01,92,14
2014-04-01,100,24
2014-05-01,53,24
2014-06-01,16,21
2014-07-01,16,31
2014-08-01,16,16
2014-09-01,20,25
2014-10-01,36,33
2014-11-01,24,34
2014-12-01,33,14
2015-01-01,27,27
2015-02-01,34,29
2015-03-01,49,40
2015-04-01,45,35
2015-05-01,22,35
2015-06-01,13,27
2015-07-01,13,27
2015-08-01,26,26
2015-09-01,26,13
2015-10-01,33,12
2015-11-01,21,21
2015-12-01,25,21
2016-01-01,36,20
2016-02-01,65,40
2016-03-01,37,15
2016-04-01,39,17
2016-05-01,19,15
2016-06-01,23,23
2016-07-01,12,16
2016-08-01,15,11
2016-09-01,34,23
2016-10-01,29,27
2016-11-01,36,14
2016-12-01,32,22
2017-01-01,17,15
