date,government internet surveillance,government monitoring social media
2011-01-01,13,13
2011-02-01,21,14
2011-03-01,21,12
2011-04-01,40,13
2011-05-01,29,19
2011-06-01,19,13
2011-07-01,19,15
2011-08-01,16,18
2011-09-01,16,20
2011-10-01,39,22
2011-11-01,41,17
2011-12-01,33,11
2012-01-01,34,10
2012-02-01,42,17
2012-03-01,37,10
2012-04-01,41,10
2012-05-01,26,13
2012-06-01,27,15
2012-07-01,23,30
2012-08-01,15,15
2012-09-01,23,10
2012-10-01,27,9
2012-11-01,24,9
2012-12-01,21,9
2013-01-01,16,13
2013-02-01,30,27
2013-03-01,21,8
2013-04-01,41,11
2013-05-01,34,12
2013-06-01,100,35
2013-07-01,48,16
2013-08-01,42,16
2013-09-01,26,8
2013-10-01,59,15
2013-11-01,73,20
2013-12-01,37,25
2014-01-01,28,12
2014-02-01,36,10
2014-03-01,46,7
2014-04-01,54,12
2014-05-01,43,12
2014-06-01,19,11
2014-07-01,23,15
2014-08-01,23,8
2014-09-01,15,12
2014-10-01,33,17
2014-11-01,31,17
2014-12-01,26,7
2015-01-01,18,13
2015-02-01,38,14
2015-03-01,50,20
2015-04-01,51,17
2015-05-01,41,17
2015-06-01,16,13
2015-07-01,27,13
2015-08-01,26,13
2015-09-01,23,6
2015-10-01,41,6
2015-11-01,74,10
2015-12-01,32,11
2016-01-01,20,10
2016-02-01,47,20
2016-03-01,24,7
2016-04-01,38,9
2016-05-01,26,7
2016-06-01,25,12
2016-07-01,8,8
2016-08-01,13,6
2016-09-01,17,11
2016-10-01,36,13
2016-11-01,63,7
2016-12-01,32,11
2017-01-01,32,8
