date,social listening platforms,government monitoring social media
2011-01-01,75,37
2011-02-01,79,40
2011-03-01,48,35
2011-04-01,76,38
2011-05-01,37,54
2011-06-01,37,37
2011-07-01,36,44
2011-08-01,46,50
2011-09-01,78,57
2011-10-01,42,64
2011-11-01,53,48
2011-12-01,31,31
2012-01-01,29,29
2012-02-01,30,50
2012-03-01,43,29
2012-04-01,88,30
2012-05-01,41,36
2012-06-01,29,43
2012-07-01,28,85
2012-08-01,28,42
2012-09-01,28,28
2012-10-01,51,25
2012-11-01,38,25
2012-12-01,42,25
2013-01-01,61,38
2013-02-01,38,77
2013-03-01,45,23
2013-04-01,39,31
2013-05-01,67,34
2013-06-01,23,100
2013-07-01,34,45
2013-08-01,52,45
2013-09-01,22,22
2013-10-01,21,42
2013-11-01,32,57
2013-12-01,42,71
2014-01-01,54,33
2014-02-01,65,29
2014-03-01,26,20
2014-04-01,27,34
2014-05-01,34,34
2014-06-01,38,30
2014-07-01,22,44
2014-08-01,44,22
2014-09-01,35,35
2014-10-01,61,47
2014-11-01,72,48
2014-12-01,68,20
2015-01-01,19,38
2015-02-01,48,41
2015-03-01,37,56
2015-04-01,51,49
2015-05-01,49,49
2015-06-01,32,38
2015-07-01,38,38
2015-08-01,31,37
2015-09-01,60,18
2015-10-01,52,17
2015-11-01,53,29
2015-12-01,36,30
2016-01-01,62,28
2016-02-01,73,56
2016-03-01,31,21
2016-04-01,66,25
2016-05-01,74,21
2016-06-01,41,33
2016-07-01,27,22
2016-08-01,65,16
2016-09-01,59,32
2016-10-01,56,38
2016-11-01,54,20
2016-12-01,20,31
2017-01-01,44,22
