date,get whatsapp password,whatsapp security settings
2011-01-01,7,0
2011-02-01,7,0
2011-03-01,6,0
2011-04-01,8,0
2011-05-01,9,0
2011-06-01,10,0
2011-07-01,6,0
2011-08-01,6,0
2011-09-01,12,0
2011-10-01,8,0
2011-11-01,6,0
2011-12-01,8,0
2012-01-01,12,0
2012-02-01,5,0
2012-03-01,10,5
2012-04-01,5,5
2012-05-01,7,5
2012-06-01,10,7
2012-07-01,13,8
2012-08-01,15,10
2012-09-01,17,5
2012-10-01,7,9
2012-11-01,16,4
2012-12-01,24,4
2013-01-01,14,4
2013-02-01,19,5
2013-03-01,16,5
2013-04-01,20,8
2013-05-01,24,4
2013-06-01,27,5
2013-07-01,29,8
2013-08-01,33,7
2013-09-01,45,6
2013-10-01,47,4
2013-11-01,36,7
2013-12-01,54,5
2014-01-01,38,7
2014-02-01,42,12
2014-03-01,49,7
2014-04-01,62,7
2014-05-01,44,17
2014-06-01,49,11
2014-07-01,44,10
2014-08-01,53,10
2014-09-01,60,6
2014-10-01,57,8
2014-11-01,59,5
2014-12-01,64,6
2015-01-01,71,8
2015-02-01,70,13
2015-03-01,64,15
2015-04-01,69,10
2015-05-01,60,7
2015-06-01,59,10
2015-07-01,89,9
2015-08-01,92,5
2015-09-01,100,14
2015-10-01,71,5
2015-11-01,81,7
2015-12-01,64,8
2016-01-01,83,15
2016-02-01,72,17
2016-03-01,86,7
2016-04-01,84,53
2016-05-01,67,10
2016-06-01,62,17
2016-07-01,73,14
2016-08-01,87,15
2016-09-01,76,27
2016-10-01,69,15
2016-11-01,77,18
2016-12-01,63,13
2017-01-01,65,16
