date,encrypted meaning in urdu,whatsapp security settings
2011-01-01,0,0
2011-02-01,0,0
2011-03-01,0,0
2011-04-01,0,0
2011-05-01,0,0
2011-06-01,0,0
2011-07-01,0,0
2011-08-01,0,0
2011-09-01,0,0
2011-10-01,0,0
2011-11-01,0,0
2011-12-01,10,0
2012-01-01,10,0
2012-02-01,10,0
2012-03-01,9,9
2012-04-01,9,9
2012-05-01,9,9
2012-06-01,9,12
2012-07-01,8,15
2012-08-01,8,19
2012-09-01,8,9
2012-10-01,8,17
2012-11-01,8,8
2012-12-01,8,8
2013-01-01,8,8
2013-02-01,11,8
2013-03-01,15,10
2013-04-01,8,15
2013-05-01,8,7
2013-06-01,8,10
2013-07-01,9,15
2013-08-01,11,12
2013-09-01,10,11
2013-10-01,10,7
2013-11-01,7,14
2013-12-01,14,10
2014-01-01,7,13
2014-02-01,7,22
2014-03-01,6,13
2014-04-01,10,13
2014-05-01,7,32
2014-06-01,8,20
2014-07-01,10,20
2014-08-01,7,18
2014-09-01,7,12
2014-10-01,7,16
2014-11-01,7,10
2014-12-01,7,11
2015-01-01,7,16
2015-02-01,7,24
2015-03-01,9,29
2015-04-01,13,19
2015-05-01,9,12
2015-06-01,6,19
2015-07-01,8,17
2015-08-01,10,9
2015-09-01,12,27
2015-10-01,8,9
2015-11-01,18,14
2015-12-01,10,16
2016-01-01,14,28
2016-02-01,6,32
2016-03-01,9,14
2016-04-01,71,100
2016-05-01,21,19
2016-06-01,22,33
2016-07-01,11,26
2016-08-01,16,29
2016-09-01,12,52
2016-10-01,13,29
2016-11-01,15,34
2016-12-01,19,24
2017-01-01,22,31
