date,whatsapp password download,whatsapp security settings
2011-01-01,4,0
2011-02-01,6,0
2011-03-01,4,0
2011-04-01,3,0
2011-05-01,3,0
2011-06-01,4,0
2011-07-01,5,0
2011-08-01,5,0
2011-09-01,3,0
2011-10-01,4,0
2011-11-01,8,0
2011-12-01,6,0
2012-01-01,8,0
2012-02-01,8,0
2012-03-01,12,2
2012-04-01,5,2
2012-05-01,14,2
2012-06-01,16,3
2012-07-01,25,3
2012-08-01,21,4
2012-09-01,15,2
2012-10-01,19,4
2012-11-01,25,2
2012-12-01,33,2
2013-01-01,41,2
2013-02-01,34,2
2013-03-01,35,2
2013-04-01,39,3
2013-05-01,45,2
2013-06-01,48,2
2013-07-01,48,3
2013-08-01,62,3
2013-09-01,79,2
2013-10-01,69,2
2013-11-01,71,3
2013-12-01,80,2
2014-01-01,76,3
2014-02-01,71,5
2014-03-01,73,3
2014-04-01,77,3
2014-05-01,73,7
2014-06-01,81,5
2014-07-01,72,4
2014-08-01,78,4
2014-09-01,82,3
2014-10-01,74,4
2014-11-01,97,2
2014-12-01,82,3
2015-01-01,85,4
2015-02-01,95,5
2015-03-01,95,7
2015-04-01,89,4
2015-05-01,88,3
2015-06-01,89,4
2015-07-01,100,4
2015-08-01,95,2
2015-09-01,98,6
2015-10-01,81,2
2015-11-01,90,3
2015-12-01,94,4
2016-01-01,78,6
2016-02-01,84,7
2016-03-01,84,3
2016-04-01,71,23
2016-05-01,80,4
2016-06-01,82,7
2016-07-01,66,6
2016-08-01,71,6
2016-09-01,74,12
2016-10-01,77,6
2016-11-01,66,8
2016-12-01,73,5
2017-01-01,68,7
