date,how to put a password on whatsapp,whatsapp security settings
2011-01-01,0,0
2011-02-01,0,0
2011-03-01,0,0
2011-04-01,13,0
2011-05-01,19,0
2011-06-01,25,0
2011-07-01,11,0
2011-08-01,11,0
2011-09-01,11,0
2011-10-01,11,0
2011-11-01,11,0
2011-12-01,14,0
2012-01-01,10,0
2012-02-01,10,0
2012-03-01,12,9
2012-04-01,14,9
2012-05-01,15,9
2012-06-01,17,12
2012-07-01,19,15
2012-08-01,18,19
2012-09-01,18,9
2012-10-01,17,17
2012-11-01,13,8
2012-12-01,8,8
2013-01-01,15,8
2013-02-01,20,8
2013-03-01,8,10
2013-04-01,15,15
2013-05-01,15,7
2013-06-01,11,10
2013-07-01,12,15
2013-08-01,12,12
2013-09-01,22,11
2013-10-01,37,7
2013-11-01,7,14
2013-12-01,7,10
2014-01-01,20,13
2014-02-01,18,22
2014-03-01,15,13
2014-04-01,18,13
2014-05-01,16,32
2014-06-01,8,20
2014-07-01,10,20
2014-08-01,17,18
2014-09-01,40,12
2014-10-01,13,16
2014-11-01,25,10
2014-12-01,22,11
2015-01-01,29,16
2015-02-01,58,24
2015-03-01,23,29
2015-04-01,25,19
2015-05-01,19,12
2015-06-01,21,19
2015-07-01,23,17
2015-08-01,25,9
2015-09-01,22,27
2015-10-01,33,9
2015-11-01,12,14
2015-12-01,12,16
2016-01-01,28,28
2016-02-01,19,32
2016-03-01,16,14
2016-04-01,18,100
2016-05-01,18,19
2016-06-01,22,33
2016-07-01,22,26
2016-08-01,27,29
2016-09-01,21,52
2016-10-01,25,29
2016-11-01,22,34
2016-12-01,22,24
2017-01-01,22,31
