date,decrypt password online,best private messaging app
2011-01-01,69,0
2011-02-01,44,0
2011-03-01,69,0
2011-04-01,63,0
2011-05-01,90,0
2011-06-01,100,0
2011-07-01,75,0
2011-08-01,65,0
2011-09-01,72,0
2011-10-01,39,2
2011-11-01,32,2
2011-12-01,43,1
2012-01-01,43,1
2012-02-01,37,1
2012-03-01,46,1
2012-04-01,36,3
2012-05-01,46,1
2012-06-01,51,1
2012-07-01,46,1
2012-08-01,43,1
2012-09-01,38,1
2012-10-01,43,2
2012-11-01,41,2
2012-12-01,43,2
2013-01-01,57,4
2013-02-01,53,1
2013-03-01,57,2
2013-04-01,48,1
2013-05-01,42,1
2013-06-01,43,1
2013-07-01,45,2
2013-08-01,41,1
2013-09-01,42,1
2013-10-01,35,2
2013-11-01,37,2
2013-12-01,45,1
2014-01-01,43,1
2014-02-01,45,1
2014-03-01,41,2
2014-04-01,37,3
2014-05-01,39,1
2014-06-01,36,3
2014-07-01,35,2
2014-08-01,47,3
2014-09-01,38,4
2014-10-01,37,2
2014-11-01,41,2
2014-12-01,41,3
2015-01-01,39,2
2015-02-01,37,5
2015-03-01,39,3
2015-04-01,48,1
2015-05-01,41,2
2015-06-01,42,2
2015-07-01,39,1
2015-08-01,40,3
2015-09-01,42,1
2015-10-01,38,3
2015-11-01,39,3
2015-12-01,37,2
2016-01-01,38,1
2016-02-01,42,2
2016-03-01,48,2
2016-04-01,46,2
2016-05-01,39,4
2016-06-01,46,2
2016-07-01,53,1
2016-08-01,39,5
2016-09-01,38,5
2016-10-01,39,4
2016-11-01,46,5
2016-12-01,38,3
2017-01-01,35,4
