date,encrypt password,best private messaging app
2011-01-01,90,0
2011-02-01,96,0
2011-03-01,89,0
2011-04-01,86,0
2011-05-01,88,0
2011-06-01,93,0
2011-07-01,90,0
2011-08-01,89,0
2011-09-01,92,0
2011-10-01,91,0
2011-11-01,86,0
2011-12-01,84,0
2012-01-01,86,0
2012-02-01,91,0
2012-03-01,85,0
2012-04-01,86,1
2012-05-01,87,0
2012-06-01,86,0
2012-07-01,87,0
2012-08-01,92,0
2012-09-01,87,0
2012-10-01,93,1
2012-11-01,82,0
2012-12-01,80,1
2013-01-01,83,1
2013-02-01,92,0
2013-03-01,89,1
2013-04-01,92,0
2013-05-01,85,0
2013-06-01,78,0
2013-07-01,83,1
2013-08-01,84,0
2013-09-01,83,0
2013-10-01,86,1
2013-11-01,89,1
2013-12-01,80,0
2014-01-01,91,0
2014-02-01,90,0
2014-03-01,90,1
2014-04-01,93,1
2014-05-01,78,0
2014-06-01,91,1
2014-07-01,88,1
2014-08-01,90,1
2014-09-01,100,1
2014-10-01,92,1
2014-11-01,92,1
2014-12-01,86,1
2015-01-01,85,0
2015-02-01,92,1
2015-03-01,94,1
2015-04-01,90,0
2015-05-01,85,1
2015-06-01,84,1
2015-07-01,89,1
2015-08-01,87,1
2015-09-01,92,0
2015-10-01,93,1
2015-11-01,89,1
2015-12-01,85,1
2016-01-01,88,1
2016-02-01,95,1
2016-03-01,95,1
2016-04-01,100,0
2016-05-01,93,1
2016-06-01,93,0
2016-07-01,86,0
2016-08-01,93,1
2016-09-01,93,1
2016-10-01,92,1
2016-11-01,94,1
2016-12-01,91,1
2017-01-01,95,1
