date,decrypt encrypted password,best private messaging app
2011-01-01,72,0
2011-02-01,72,0
2011-03-01,86,0
2011-04-01,95,0
2011-05-01,59,0
2011-06-01,73,0
2011-07-01,95,0
2011-08-01,76,0
2011-09-01,91,6
2011-10-01,84,5
2011-11-01,85,5
2011-12-01,60,5
2012-01-01,44,5
2012-02-01,63,5
2012-03-01,77,5
2012-04-01,52,10
2012-05-01,76,5
2012-06-01,89,5
2012-07-01,72,5
2012-08-01,87,5
2012-09-01,76,5
2012-10-01,63,7
2012-11-01,61,6
2012-12-01,73,9
2013-01-01,77,12
2013-02-01,76,4
2013-03-01,75,6
2013-04-01,86,4
2013-05-01,64,4
2013-06-01,81,4
2013-07-01,61,8
2013-08-01,80,4
2013-09-01,55,4
2013-10-01,63,7
2013-11-01,54,7
2013-12-01,70,3
2014-01-01,57,3
2014-02-01,66,4
2014-03-01,77,7
2014-04-01,62,7
2014-05-01,73,3
2014-06-01,56,10
2014-07-01,69,8
2014-08-01,62,9
2014-09-01,82,12
2014-10-01,76,10
2014-11-01,88,9
2014-12-01,66,9
2015-01-01,58,5
2015-02-01,70,14
2015-03-01,70,6
2015-04-01,81,4
2015-05-01,54,7
2015-06-01,78,6
2015-07-01,84,10
2015-08-01,82,13
2015-09-01,70,3
2015-10-01,100,12
2015-11-01,58,7
2015-12-01,64,11
2016-01-01,78,9
2016-02-01,87,7
2016-03-01,76,10
2016-04-01,79,6
2016-05-01,72,14
2016-06-01,82,5
2016-07-01,67,6
2016-08-01,82,16
2016-09-01,73,13
2016-10-01,74,15
2016-11-01,80,15
2016-12-01,69,10
2017-01-01,81,15
