how to change facebook privacy settings,93.33333333,0.303168277
how to change youtube privacy settings,100,0.147168283
how to change snapchat privacy settings,93.33333333,0.509576168
how to change twitter privacy settings,93.93939394,0.431111257
how to search without being tracked,75.75757576,0.394507962
how to browse without being tracked,87.5,0.358693839
how to search anonymously,96.2962963,0.199881454
how to browse anonymously,84.84848485,0.407545567
search without history,96.2962963,0.237795313
how to delete a facebook account,96.66666667,0.599845841
how to delete a youtube account,86.66666667,0.628735615
how to delete a snapchat account,68,0.399798253
how to delete a instagram account,95.83333333,0.525601604
how to delete a google account,100,-0.148201486
how to delete a twitter account,100,0.123045611
how to delete facebook,88.46153846,0.577576885
how to delete gmail,100,0.416071326
how to delete twitter,100,0.163818238
how to delete youtube,81.48148148,0.551343246
how to delete snapchat,100,0.448119793
how to delete instagram,92.59259259,0.536422289
how to delete pokemongo,100,0.565510593
how to encrypt emails,92,0.391428539
how to encrypt phone calls,93.33333333,0.406287689
how to encrypt text messages,100,0.357550784
how to encrypt google hangouts,97.43589744,0.405752526
how to encrypt skype,100,0.274234713
how to encrypt whatsapp,92.59259259,0.493761783
how to protect against email monitoring,88.88888889,0.264335987
how to protect against phone call monitoring,100,0.062082876
how to protect against text message monitoring,84.84848485,0.418417722
how to protect against google hangout monitoring,66.66666667,0.321924226
how to protect against whatsapp monitoring,88,0.363681059
how to protect against skype monitoring,100,0.196809848
info handled appropriately facebook,85.71428571,0.431025388
info handled appropriately gmail,100,-0.002773644
info handled appropriately instagram,100,0.26735878
info handled appropriately pokemongo,100,-0.103295179
info handled appropriately twitter,100,0.090505795
info handled appropriately uber,100,-0.061972416
hide facebook from government,50,0.574507109
hide gmail from government,92.30769231,0.269462883
hide instagram from government,93.93939394,0.31842043
hide pokemongo from government,96.96969697,0.376302404
hide twitter from government,100,-0.131560817
hide uber from government,100,0.090396814
hide youtube from government,0,1
privacy policy facebook,100,0.07876953
privacy policy gmail,100,0.399847579
privacy policy instagram,84.375,0.140136646
privacy policy pokemongo,96.2962963,0.453093394
privacy policy twitter,100,0.086176064
privacy policy uber,100,0.064827608
privacy policy youtube,100,0.258089807
remove social media connection facebook,94.44444444,0.424044674
remove social media connection instagram,83.33333333,0.433785169
remove social media connection snapchat,100,0.142308678
remove social media connection twitter,76.66666667,0.442422674
tool to encrypt email,93.93939394,0.382097098
tool to encrypt phone calls,75,0.577803492
tool to encrypt skype,96.2962963,0.382259668
tool to encrypt text messages,79.31034483,0.586113486
tool to encrypt whatsapp,84,0.560555709
