date,twitter privacy,Twitter privacy policy
2011-01-01,25,4
2011-02-01,37,3
2011-03-01,41,2
2011-04-01,43,3
2011-05-01,77,3
2011-06-01,54,1
2011-07-01,52,2
2011-08-01,61,2
2011-09-01,56,2
2011-10-01,66,5
2011-11-01,73,2
2011-12-01,55,3
2012-01-01,60,5
2012-02-01,64,6
2012-03-01,63,6
2012-04-01,49,3
2012-05-01,53,7
2012-06-01,55,3
2012-07-01,60,4
2012-08-01,50,5
2012-09-01,80,4
2012-10-01,100,3
2012-11-01,84,4
2012-12-01,89,6
2013-01-01,95,6
2013-02-01,94,6
2013-03-01,87,7
2013-04-01,85,6
2013-05-01,81,3
2013-06-01,74,3
2013-07-01,77,4
2013-08-01,72,1
2013-09-01,62,4
2013-10-01,64,4
2013-11-01,57,6
2013-12-01,59,3
2014-01-01,67,4
2014-02-01,70,5
2014-03-01,64,5
2014-04-01,66,4
2014-05-01,68,4
2014-06-01,61,4
2014-07-01,57,3
2014-08-01,62,2
2014-09-01,64,5
2014-10-01,62,4
2014-11-01,78,5
2014-12-01,62,3
2015-01-01,55,5
2015-02-01,52,4
2015-03-01,52,6
2015-04-01,47,5
2015-05-01,40,5
2015-06-01,39,4
2015-07-01,38,7
2015-08-01,40,5
2015-09-01,43,5
2015-10-01,41,7
2015-11-01,43,6
2015-12-01,37,5
2016-01-01,35,4
2016-02-01,38,4
2016-03-01,39,3
2016-04-01,32,5
2016-05-01,32,4
2016-06-01,27,5
2016-07-01,30,4
2016-08-01,26,6
2016-09-01,29,4
2016-10-01,32,5
2016-11-01,32,5
2016-12-01,26,3
2017-01-01,33,6
