date,change twitter password,private twitter account
2011-01-01,8,4
2011-02-01,8,4
2011-03-01,10,8
2011-04-01,14,10
2011-05-01,19,11
2011-06-01,22,12
2011-07-01,44,11
2011-08-01,51,10
2011-09-01,38,10
2011-10-01,40,22
2011-11-01,40,28
2011-12-01,42,20
2012-01-01,57,15
2012-02-01,44,14
2012-03-01,50,15
2012-04-01,61,19
2012-05-01,66,21
2012-06-01,76,18
2012-07-01,78,23
2012-08-01,100,23
2012-09-01,100,20
2012-10-01,91,26
2012-11-01,68,22
2012-12-01,60,28
2013-01-01,82,31
2013-02-01,92,37
2013-03-01,70,33
2013-04-01,60,29
2013-05-01,64,32
2013-06-01,80,40
2013-07-01,84,49
2013-08-01,73,38
2013-09-01,86,39
2013-10-01,64,33
2013-11-01,50,39
2013-12-01,65,41
2014-01-01,79,41
2014-02-01,70,40
2014-03-01,81,50
2014-04-01,73,52
2014-05-01,49,37
2014-06-01,50,34
2014-07-01,54,38
2014-08-01,60,44
2014-09-01,57,39
2014-10-01,48,38
2014-11-01,49,36
2014-12-01,57,34
2015-01-01,53,33
2015-02-01,64,29
2015-03-01,55,26
2015-04-01,57,28
2015-05-01,51,27
2015-06-01,57,27
2015-07-01,64,26
2015-08-01,48,33
2015-09-01,47,29
2015-10-01,52,25
2015-11-01,52,30
2015-12-01,50,29
2016-01-01,53,30
2016-02-01,46,30
2016-03-01,46,32
2016-04-01,50,29
2016-05-01,50,23
2016-06-01,76,23
2016-07-01,69,24
2016-08-01,62,26
2016-09-01,55,21
2016-10-01,51,19
2016-11-01,54,20
2016-12-01,52,24
2017-01-01,62,27
