date,twitter privacy,private twitter account
2011-01-01,31,9
2011-02-01,37,6
2011-03-01,42,13
2011-04-01,43,15
2011-05-01,87,16
2011-06-01,55,22
2011-07-01,50,18
2011-08-01,57,18
2011-09-01,58,20
2011-10-01,61,44
2011-11-01,73,48
2011-12-01,62,34
2012-01-01,65,24
2012-02-01,67,23
2012-03-01,69,23
2012-04-01,61,26
2012-05-01,59,38
2012-06-01,60,30
2012-07-01,62,39
2012-08-01,59,37
2012-09-01,88,35
2012-10-01,100,46
2012-11-01,86,42
2012-12-01,95,49
2013-01-01,98,57
2013-02-01,89,63
2013-03-01,84,53
2013-04-01,91,50
2013-05-01,82,60
2013-06-01,74,69
2013-07-01,76,86
2013-08-01,74,66
2013-09-01,71,68
2013-10-01,68,58
2013-11-01,64,68
2013-12-01,63,67
2014-01-01,72,74
2014-02-01,72,64
2014-03-01,69,85
2014-04-01,66,86
2014-05-01,64,65
2014-06-01,62,62
2014-07-01,62,65
2014-08-01,62,70
2014-09-01,64,66
2014-10-01,62,57
2014-11-01,73,63
2014-12-01,64,59
2015-01-01,58,60
2015-02-01,49,45
2015-03-01,50,46
2015-04-01,48,47
2015-05-01,38,41
2015-06-01,42,46
2015-07-01,40,53
2015-08-01,39,50
2015-09-01,44,49
2015-10-01,48,43
2015-11-01,44,49
2015-12-01,39,50
2016-01-01,37,51
2016-02-01,42,47
2016-03-01,39,54
2016-04-01,38,48
2016-05-01,29,44
2016-06-01,31,40
2016-07-01,37,42
2016-08-01,30,44
2016-09-01,33,38
2016-10-01,32,34
2016-11-01,34,38
2016-12-01,25,41
2017-01-01,32,43
