date,hack email password free online,google hangouts privacy
2011-01-01,36,0
2011-02-01,33,0
2011-03-01,51,0
2011-04-01,41,0
2011-05-01,56,0
2011-06-01,43,0
2011-07-01,64,0
2011-08-01,43,0
2011-09-01,58,0
2011-10-01,50,0
2011-11-01,50,4
2011-12-01,47,4
2012-01-01,55,4
2012-02-01,63,6
2012-03-01,61,8
2012-04-01,76,4
2012-05-01,79,4
2012-06-01,63,4
2012-07-01,82,4
2012-08-01,100,8
2012-09-01,60,7
2012-10-01,51,7
2012-11-01,57,4
2012-12-01,66,4
2013-01-01,55,3
2013-02-01,54,4
2013-03-01,70,3
2013-04-01,65,5
2013-05-01,50,7
2013-06-01,54,10
2013-07-01,57,10
2013-08-01,63,7
2013-09-01,52,3
2013-10-01,64,6
2013-11-01,54,8
2013-12-01,72,8
2014-01-01,71,8
2014-02-01,81,9
2014-03-01,59,17
2014-04-01,43,9
2014-05-01,55,13
2014-06-01,47,8
2014-07-01,50,9
2014-08-01,43,8
2014-09-01,40,12
2014-10-01,47,10
2014-11-01,45,3
2014-12-01,50,7
2015-01-01,33,12
2015-02-01,40,8
2015-03-01,43,7
2015-04-01,41,7
2015-05-01,33,12
2015-06-01,39,6
2015-07-01,47,10
2015-08-01,37,9
2015-09-01,43,12
2015-10-01,20,8
2015-11-01,27,10
2015-12-01,29,5
2016-01-01,23,7
2016-02-01,25,8
2016-03-01,28,9
2016-04-01,18,5
2016-05-01,28,6
2016-06-01,30,3
2016-07-01,32,7
2016-08-01,27,6
2016-09-01,17,8
2016-10-01,27,8
2016-11-01,28,7
2016-12-01,32,9
2017-01-01,23,5
