date,forgot instagram password,how to delete a google account
2011-01-01,0,23
2011-02-01,0,19
2011-03-01,0,20
2011-04-01,0,23
2011-05-01,1,27
2011-06-01,1,32
2011-07-01,1,36
2011-08-01,1,32
2011-09-01,1,43
2011-10-01,1,37
2011-11-01,1,34
2011-12-01,2,36
2012-01-01,2,45
2012-02-01,4,31
2012-03-01,6,30
2012-04-01,10,32
2012-05-01,13,33
2012-06-01,42,35
2012-07-01,31,43
2012-08-01,27,47
2012-09-01,30,41
2012-10-01,21,33
2012-11-01,22,35
2012-12-01,33,43
2013-01-01,30,41
2013-02-01,28,44
2013-03-01,30,40
2013-04-01,31,44
2013-05-01,23,48
2013-06-01,40,49
2013-07-01,42,59
2013-08-01,46,53
2013-09-01,39,53
2013-10-01,35,52
2013-11-01,36,58
2013-12-01,37,61
2014-01-01,37,63
2014-02-01,38,66
2014-03-01,37,63
2014-04-01,45,60
2014-05-01,36,59
2014-06-01,37,60
2014-07-01,43,66
2014-08-01,51,65
2014-09-01,47,58
2014-10-01,49,53
2014-11-01,54,58
2014-12-01,60,60
2015-01-01,61,55
2015-02-01,39,49
2015-03-01,42,50
2015-04-01,40,51
2015-05-01,35,51
2015-06-01,44,56
2015-07-01,62,58
2015-08-01,45,63
2015-09-01,47,58
2015-10-01,40,55
2015-11-01,52,55
2015-12-01,56,57
2016-01-01,52,69
2016-02-01,50,55
2016-03-01,59,55
2016-04-01,65,56
2016-05-01,61,57
2016-06-01,75,54
2016-07-01,84,73
2016-08-01,86,69
2016-09-01,73,61
2016-10-01,85,64
2016-11-01,95,56
2016-12-01,99,70
2017-01-01,100,68
