date,government monitoring social media
2011-01-01,41
2011-02-01,43
2011-03-01,38
2011-04-01,39
2011-05-01,39
2011-06-01,40
2011-07-01,37
2011-08-01,37
2011-09-01,44
2011-10-01,51
2011-11-01,51
2011-12-01,51
2012-01-01,31
2012-02-01,49
2012-03-01,31
2012-04-01,48
2012-05-01,31
2012-06-01,31
2012-07-01,45
2012-08-01,60
2012-09-01,40
2012-10-01,36
2012-11-01,41
2012-12-01,28
2013-01-01,37
2013-02-01,46
2013-03-01,32
2013-04-01,33
2013-05-01,37
2013-06-01,100
2013-07-01,49
2013-08-01,49
2013-09-01,71
2013-10-01,38
2013-11-01,69
2013-12-01,54
2014-01-01,43
2014-02-01,31
2014-03-01,31
2014-04-01,36
2014-05-01,44
2014-06-01,37
2014-07-01,48
2014-08-01,46
2014-09-01,46
2014-10-01,43
2014-11-01,52
2014-12-01,22
2015-01-01,31
2015-02-01,59
2015-03-01,47
2015-04-01,41
2015-05-01,40
2015-06-01,27
2015-07-01,34
2015-08-01,20
2015-09-01,20
2015-10-01,37
2015-11-01,38
2015-12-01,48
2016-01-01,64
2016-02-01,24
2016-03-01,23
2016-04-01,24
2016-05-01,26
2016-06-01,29
2016-07-01,27
2016-08-01,17
2016-09-01,26
2016-10-01,38
2016-11-01,39
2016-12-01,50
2017-01-01,23
