date,social media monitoring companies,government monitoring social media
2011-01-01,43,32
2011-02-01,51,34
2011-03-01,61,30
2011-04-01,43,33
2011-05-01,46,46
2011-06-01,31,32
2011-07-01,47,37
2011-08-01,73,43
2011-09-01,57,49
2011-10-01,68,54
2011-11-01,100,41
2011-12-01,81,27
2012-01-01,50,25
2012-02-01,68,43
2012-03-01,37,24
2012-04-01,67,25
2012-05-01,62,31
2012-06-01,57,37
2012-07-01,80,73
2012-08-01,83,36
2012-09-01,55,24
2012-10-01,86,22
2012-11-01,43,22
2012-12-01,51,22
2013-01-01,72,33
2013-02-01,55,66
2013-03-01,19,19
2013-04-01,53,26
2013-05-01,45,29
2013-06-01,26,86
2013-07-01,32,39
2013-08-01,57,38
2013-09-01,50,19
2013-10-01,36,36
2013-11-01,64,49
2013-12-01,48,61
2014-01-01,68,28
2014-02-01,43,25
2014-03-01,56,17
2014-04-01,40,29
2014-05-01,58,29
2014-06-01,65,26
2014-07-01,44,38
2014-08-01,50,19
2014-09-01,30,30
2014-10-01,46,40
2014-11-01,88,41
2014-12-01,46,17
2015-01-01,60,33
2015-02-01,93,35
2015-03-01,32,48
2015-04-01,54,42
2015-05-01,37,42
2015-06-01,65,33
2015-07-01,48,32
2015-08-01,58,32
2015-09-01,52,16
2015-10-01,54,15
2015-11-01,60,25
2015-12-01,46,26
2016-01-01,29,24
2016-02-01,43,48
2016-03-01,40,18
2016-04-01,75,21
2016-05-01,34,18
2016-06-01,28,28
2016-07-01,56,19
2016-08-01,32,14
2016-09-01,36,27
2016-10-01,35,33
2016-11-01,57,17
2016-12-01,44,26
2017-01-01,41,19
