date,government surveillance pros and cons,government monitoring social media
2011-01-01,0,29
2011-02-01,0,31
2011-03-01,0,28
2011-04-01,0,30
2011-05-01,28,42
2011-06-01,26,29
2011-07-01,26,34
2011-08-01,26,39
2011-09-01,26,45
2011-10-01,25,50
2011-11-01,25,37
2011-12-01,24,25
2012-01-01,23,23
2012-02-01,23,39
2012-03-01,45,22
2012-04-01,23,23
2012-05-01,21,28
2012-06-01,22,34
2012-07-01,29,66
2012-08-01,36,33
2012-09-01,43,22
2012-10-01,0,20
2012-11-01,0,20
2012-12-01,0,20
2013-01-01,0,30
2013-02-01,0,60
2013-03-01,26,18
2013-04-01,18,24
2013-05-01,18,26
2013-06-01,27,78
2013-07-01,18,35
2013-08-01,17,35
2013-09-01,63,17
2013-10-01,38,33
2013-11-01,100,44
2013-12-01,22,55
2014-01-01,31,26
2014-02-01,57,23
2014-03-01,31,15
2014-04-01,47,26
2014-05-01,32,26
2014-06-01,35,24
2014-07-01,17,34
2014-08-01,17,17
2014-09-01,66,28
2014-10-01,32,37
2014-11-01,27,38
2014-12-01,37,16
2015-01-01,60,30
2015-02-01,43,32
2015-03-01,44,44
2015-04-01,65,39
2015-05-01,43,39
2015-06-01,20,30
2015-07-01,15,29
2015-08-01,36,29
2015-09-01,52,14
2015-10-01,18,14
2015-11-01,50,23
2015-12-01,70,23
2016-01-01,27,22
2016-02-01,61,44
2016-03-01,67,16
2016-04-01,64,19
2016-05-01,45,17
2016-06-01,19,26
2016-07-01,17,17
2016-08-01,13,13
2016-09-01,50,25
2016-10-01,63,30
2016-11-01,92,16
2016-12-01,40,24
2017-01-01,53,17
