date,social listening tools comparison,government monitoring social media
2011-01-01,0,37
2011-02-01,0,40
2011-03-01,0,35
2011-04-01,0,38
2011-05-01,0,54
2011-06-01,0,37
2011-07-01,0,44
2011-08-01,0,50
2011-09-01,0,57
2011-10-01,0,64
2011-11-01,0,48
2011-12-01,0,31
2012-01-01,0,29
2012-02-01,0,50
2012-03-01,0,29
2012-04-01,0,30
2012-05-01,27,36
2012-06-01,28,43
2012-07-01,28,85
2012-08-01,28,42
2012-09-01,28,28
2012-10-01,25,25
2012-11-01,25,25
2012-12-01,25,25
2013-01-01,23,38
2013-02-01,23,77
2013-03-01,23,23
2013-04-01,23,31
2013-05-01,22,34
2013-06-01,23,100
2013-07-01,23,45
2013-08-01,22,45
2013-09-01,22,22
2013-10-01,21,42
2013-11-01,21,57
2013-12-01,31,71
2014-01-01,40,33
2014-02-01,22,29
2014-03-01,20,20
2014-04-01,20,34
2014-05-01,20,34
2014-06-01,21,30
2014-07-01,22,44
2014-08-01,22,22
2014-09-01,21,35
2014-10-01,21,47
2014-11-01,21,48
2014-12-01,19,20
2015-01-01,19,38
2015-02-01,31,41
2015-03-01,19,56
2015-04-01,19,49
2015-05-01,19,49
2015-06-01,29,38
2015-07-01,28,38
2015-08-01,18,37
2015-09-01,18,18
2015-10-01,17,17
2015-11-01,18,29
2015-12-01,18,30
2016-01-01,34,28
2016-02-01,17,56
2016-03-01,23,21
2016-04-01,24,25
2016-05-01,24,21
2016-06-01,24,33
2016-07-01,17,22
2016-08-01,32,16
2016-09-01,32,32
2016-10-01,15,38
2016-11-01,15,20
2016-12-01,15,31
2017-01-01,15,22
