date,best social media monitoring tools,government monitoring social media
2011-01-01,0,29
2011-02-01,47,31
2011-03-01,56,28
2011-04-01,100,30
2011-05-01,66,43
2011-06-01,39,29
2011-07-01,38,35
2011-08-01,81,40
2011-09-01,53,45
2011-10-01,59,50
2011-11-01,42,38
2011-12-01,41,25
2012-01-01,61,23
2012-02-01,31,39
2012-03-01,45,23
2012-04-01,81,23
2012-05-01,65,29
2012-06-01,53,34
2012-07-01,59,67
2012-08-01,37,33
2012-09-01,44,22
2012-10-01,60,20
2012-11-01,73,20
2012-12-01,47,20
2013-01-01,66,30
2013-02-01,40,60
2013-03-01,77,18
2013-04-01,46,24
2013-05-01,44,27
2013-06-01,55,79
2013-07-01,42,36
2013-08-01,53,35
2013-09-01,35,17
2013-10-01,50,33
2013-11-01,50,45
2013-12-01,25,56
2014-01-01,89,26
2014-02-01,85,23
2014-03-01,31,15
2014-04-01,71,27
2014-05-01,48,27
2014-06-01,36,24
2014-07-01,52,35
2014-08-01,35,18
2014-09-01,22,28
2014-10-01,42,37
2014-11-01,49,38
2014-12-01,37,16
2015-01-01,30,30
2015-02-01,37,32
2015-03-01,22,44
2015-04-01,40,39
2015-05-01,39,39
2015-06-01,45,30
2015-07-01,49,30
2015-08-01,44,29
2015-09-01,33,14
2015-10-01,36,14
2015-11-01,37,23
2015-12-01,38,24
2016-01-01,22,22
2016-02-01,26,44
2016-03-01,49,16
2016-04-01,43,19
2016-05-01,38,17
2016-06-01,39,26
2016-07-01,48,17
2016-08-01,43,13
2016-09-01,25,25
2016-10-01,52,30
2016-11-01,40,16
2016-12-01,52,24
2017-01-01,23,17
