date,social media monitoring definition,government monitoring social media
2011-01-01,33,0
2011-02-01,35,35
2011-03-01,32,34
2011-04-01,32,34
2011-05-01,32,65
2011-06-01,32,33
2011-07-01,32,39
2011-08-01,30,45
2011-09-01,30,51
2011-10-01,28,56
2011-11-01,84,56
2011-12-01,42,26
2012-01-01,64,26
2012-02-01,66,40
2012-03-01,51,25
2012-04-01,52,26
2012-05-01,49,32
2012-06-01,38,38
2012-07-01,25,100
2012-08-01,37,25
2012-09-01,49,25
2012-10-01,45,22
2012-11-01,56,22
2012-12-01,34,23
2013-01-01,41,41
2013-02-01,57,68
2013-03-01,60,20
2013-04-01,82,31
2013-05-01,40,20
2013-06-01,31,82
2013-07-01,40,20
2013-08-01,20,40
2013-09-01,29,43
2013-10-01,37,46
2013-11-01,28,57
2013-12-01,28,66
2014-01-01,53,27
2014-02-01,38,29
2014-03-01,34,17
2014-04-01,27,36
2014-05-01,18,18
2014-06-01,40,30
2014-07-01,68,39
2014-08-01,29,28
2014-09-01,28,28
2014-10-01,36,54
2014-11-01,18,46
2014-12-01,90,18
2015-01-01,34,50
2015-02-01,18,36
2015-03-01,33,66
2015-04-01,34,41
2015-05-01,49,41
2015-06-01,42,42
2015-07-01,46,42
2015-08-01,49,16
2015-09-01,40,16
2015-10-01,15,15
2015-11-01,31,23
2015-12-01,40,32
2016-01-01,45,23
2016-02-01,60,45
2016-03-01,35,21
2016-04-01,36,29
2016-05-01,56,21
2016-06-01,65,29
2016-07-01,51,22
2016-08-01,36,25
2016-09-01,35,28
2016-10-01,27,34
2016-11-01,48,14
2016-12-01,27,27
2017-01-01,19,13
