date,human rights and media,government monitoring social media
2011-01-01,17,2
2011-02-01,28,3
2011-03-01,20,2
2011-04-01,29,2
2011-05-01,34,3
2011-06-01,16,2
2011-07-01,15,3
2011-08-01,13,3
2011-09-01,30,4
2011-10-01,23,4
2011-11-01,36,3
2011-12-01,17,2
2012-01-01,23,2
2012-02-01,26,3
2012-03-01,28,2
2012-04-01,20,2
2012-05-01,23,2
2012-06-01,22,3
2012-07-01,22,5
2012-08-01,16,3
2012-09-01,19,2
2012-10-01,23,2
2012-11-01,20,2
2012-12-01,22,2
2013-01-01,17,2
2013-02-01,22,5
2013-03-01,28,1
2013-04-01,23,2
2013-05-01,32,2
2013-06-01,22,6
2013-07-01,15,3
2013-08-01,16,3
2013-09-01,11,1
2013-10-01,21,3
2013-11-01,27,4
2013-12-01,23,4
2014-01-01,17,2
2014-02-01,20,2
2014-03-01,23,1
2014-04-01,23,2
2014-05-01,34,2
2014-06-01,23,2
2014-07-01,19,3
2014-08-01,19,1
2014-09-01,17,2
2014-10-01,21,3
2014-11-01,25,3
2014-12-01,18,1
2015-01-01,16,2
2015-02-01,18,3
2015-03-01,26,4
2015-04-01,24,3
2015-05-01,32,3
2015-06-01,18,2
2015-07-01,14,2
2015-08-01,21,2
2015-09-01,27,1
2015-10-01,22,1
2015-11-01,25,2
2015-12-01,23,2
2016-01-01,18,2
2016-02-01,24,4
2016-03-01,24,1
2016-04-01,47,2
2016-05-01,100,1
2016-06-01,32,2
2016-07-01,14,1
2016-08-01,20,1
2016-09-01,19,2
2016-10-01,20,2
2016-11-01,34,1
2016-12-01,20,2
2017-01-01,19,1
