date,government spying on citizens,government monitoring social media
2011-01-01,6,6
2011-02-01,6,5
2011-03-01,10,5
2011-04-01,6,7
2011-05-01,5,8
2011-06-01,0,5
2011-07-01,0,6
2011-08-01,0,7
2011-09-01,0,8
2011-10-01,0,9
2011-11-01,7,5
2011-12-01,4,5
2012-01-01,4,4
2012-02-01,13,9
2012-03-01,17,4
2012-04-01,17,4
2012-05-01,10,6
2012-06-01,8,8
2012-07-01,8,13
2012-08-01,4,6
2012-09-01,6,4
2012-10-01,9,4
2012-11-01,9,4
2012-12-01,17,5
2013-01-01,8,5
2013-02-01,8,11
2013-03-01,5,3
2013-04-01,7,3
2013-05-01,20,7
2013-06-01,100,19
2013-07-01,45,8
2013-08-01,33,7
2013-09-01,34,3
2013-10-01,43,5
2013-11-01,42,6
2013-12-01,31,13
2014-01-01,28,6
2014-02-01,29,5
2014-03-01,24,3
2014-04-01,19,4
2014-05-01,16,6
2014-06-01,15,5
2014-07-01,15,6
2014-08-01,6,3
2014-09-01,20,6
2014-10-01,24,6
2014-11-01,23,6
2014-12-01,16,3
2015-01-01,7,3
2015-02-01,17,8
2015-03-01,28,7
2015-04-01,27,8
2015-05-01,22,10
2015-06-01,8,4
2015-07-01,10,4
2015-08-01,7,5
2015-09-01,9,3
2015-10-01,18,3
2015-11-01,14,5
2015-12-01,12,5
2016-01-01,15,4
2016-02-01,11,9
2016-03-01,12,3
2016-04-01,6,4
2016-05-01,12,4
2016-06-01,8,4
2016-07-01,2,4
2016-08-01,2,2
2016-09-01,15,6
2016-10-01,21,7
2016-11-01,18,3
2016-12-01,16,3
2017-01-01,23,3
