date,social media monitoring tools comparison,government monitoring social media
2011-01-01,38,37
2011-02-01,39,40
2011-03-01,38,35
2011-04-01,38,38
2011-05-01,54,54
2011-06-01,73,37
2011-07-01,48,44
2011-08-01,57,50
2011-09-01,67,57
2011-10-01,32,64
2011-11-01,32,48
2011-12-01,31,31
2012-01-01,39,29
2012-02-01,30,50
2012-03-01,57,29
2012-04-01,49,30
2012-05-01,27,36
2012-06-01,57,43
2012-07-01,56,85
2012-08-01,42,42
2012-09-01,55,28
2012-10-01,38,25
2012-11-01,34,25
2012-12-01,23,25
2013-01-01,23,38
2013-02-01,26,77
2013-03-01,34,23
2013-04-01,92,31
2013-05-01,23,34
2013-06-01,23,100
2013-07-01,22,45
2013-08-01,22,45
2013-09-01,44,22
2013-10-01,42,42
2013-11-01,42,57
2013-12-01,21,71
2014-01-01,30,33
2014-02-01,29,29
2014-03-01,29,20
2014-04-01,20,34
2014-05-01,33,34
2014-06-01,45,30
2014-07-01,44,44
2014-08-01,33,22
2014-09-01,37,35
2014-10-01,40,47
2014-11-01,21,48
2014-12-01,27,20
2015-01-01,19,38
2015-02-01,19,41
2015-03-01,19,56
2015-04-01,28,49
2015-05-01,37,49
2015-06-01,38,38
2015-07-01,18,38
2015-08-01,18,37
2015-09-01,36,18
2015-10-01,17,17
2015-11-01,23,29
2015-12-01,18,30
2016-01-01,17,28
2016-02-01,17,56
2016-03-01,16,21
2016-04-01,24,25
2016-05-01,31,21
2016-06-01,16,33
2016-07-01,16,22
2016-08-01,16,16
2016-09-01,16,32
2016-10-01,20,38
2016-11-01,15,20
2016-12-01,15,31
2017-01-01,29,22
