date,digitalstakeout,government monitoring social media
2011-01-01,0,31
2011-02-01,33,33
2011-03-01,60,30
2011-04-01,32,32
2011-05-01,30,45
2011-06-01,29,31
2011-07-01,29,37
2011-08-01,29,42
2011-09-01,28,48
2011-10-01,26,53
2011-11-01,27,40
2011-12-01,26,26
2012-01-01,36,24
2012-02-01,100,42
2012-03-01,24,24
2012-04-01,25,25
2012-05-01,46,30
2012-06-01,23,36
2012-07-01,23,71
2012-08-01,46,35
2012-09-01,21,23
2012-10-01,21,21
2012-11-01,21,21
2012-12-01,21,21
2013-01-01,21,32
2013-02-01,21,64
2013-03-01,38,19
2013-04-01,19,26
2013-05-01,19,28
2013-06-01,18,84
2013-07-01,18,38
2013-08-01,18,37
2013-09-01,18,18
2013-10-01,35,35
2013-11-01,18,48
2013-12-01,18,59
2014-01-01,25,28
2014-02-01,36,24
2014-03-01,16,16
2014-04-01,25,28
2014-05-01,34,28
2014-06-01,19,25
2014-07-01,19,37
2014-08-01,19,19
2014-09-01,18,29
2014-10-01,34,39
2014-11-01,17,40
2014-12-01,34,17
2015-01-01,26,32
2015-02-01,26,34
2015-03-01,16,47
2015-04-01,16,41
2015-05-01,23,41
2015-06-01,21,32
2015-07-01,24,31
2015-08-01,31,31
2015-09-01,15,15
2015-10-01,14,14
2015-11-01,34,25
2015-12-01,15,25
2016-01-01,14,24
2016-02-01,14,47
2016-03-01,13,17
2016-04-01,14,21
2016-05-01,33,18
2016-06-01,14,27
2016-07-01,14,18
2016-08-01,18,14
2016-09-01,22,27
2016-10-01,21,32
2016-11-01,38,17
2016-12-01,26,26
2017-01-01,12,18
