date,media sonar,government monitoring social media
2011-01-01,44,7
2011-02-01,60,7
2011-03-01,50,6
2011-04-01,47,7
2011-05-01,50,9
2011-06-01,64,7
2011-07-01,34,8
2011-08-01,62,9
2011-09-01,39,10
2011-10-01,100,11
2011-11-01,67,8
2011-12-01,62,6
2012-01-01,69,5
2012-02-01,69,9
2012-03-01,78,5
2012-04-01,63,5
2012-05-01,62,6
2012-06-01,75,8
2012-07-01,69,15
2012-08-01,52,7
2012-09-01,76,5
2012-10-01,62,4
2012-11-01,57,4
2012-12-01,50,4
2013-01-01,63,7
2013-02-01,42,13
2013-03-01,58,4
2013-04-01,46,5
2013-05-01,55,6
2013-06-01,66,18
2013-07-01,54,8
2013-08-01,68,8
2013-09-01,63,4
2013-10-01,82,7
2013-11-01,65,10
2013-12-01,85,12
2014-01-01,71,6
2014-02-01,71,5
2014-03-01,77,3
2014-04-01,86,6
2014-05-01,62,6
2014-06-01,65,5
2014-07-01,46,8
2014-08-01,57,4
2014-09-01,43,6
2014-10-01,66,8
2014-11-01,60,8
2014-12-01,61,4
2015-01-01,43,7
2015-02-01,51,7
2015-03-01,46,10
2015-04-01,52,9
2015-05-01,50,9
2015-06-01,38,7
2015-07-01,38,7
2015-08-01,49,6
2015-09-01,42,3
2015-10-01,42,3
2015-11-01,34,5
2015-12-01,42,5
2016-01-01,53,5
2016-02-01,44,10
2016-03-01,41,4
2016-04-01,37,4
2016-05-01,51,4
2016-06-01,38,6
2016-07-01,48,4
2016-08-01,41,3
2016-09-01,35,6
2016-10-01,50,7
2016-11-01,44,4
2016-12-01,35,5
2017-01-01,46,4
