date,government monitoring social media
2011-01-01,37
2011-02-01,40
2011-03-01,35
2011-04-01,38
2011-05-01,54
2011-06-01,37
2011-07-01,44
2011-08-01,50
2011-09-01,57
2011-10-01,64
2011-11-01,48
2011-12-01,31
2012-01-01,29
2012-02-01,50
2012-03-01,29
2012-04-01,30
2012-05-01,36
2012-06-01,43
2012-07-01,85
2012-08-01,42
2012-09-01,28
2012-10-01,25
2012-11-01,25
2012-12-01,25
2013-01-01,38
2013-02-01,77
2013-03-01,23
2013-04-01,31
2013-05-01,34
2013-06-01,100
2013-07-01,45
2013-08-01,45
2013-09-01,22
2013-10-01,42
2013-11-01,57
2013-12-01,71
2014-01-01,33
2014-02-01,29
2014-03-01,20
2014-04-01,34
2014-05-01,34
2014-06-01,30
2014-07-01,44
2014-08-01,22
2014-09-01,35
2014-10-01,47
2014-11-01,48
2014-12-01,20
2015-01-01,38
2015-02-01,41
2015-03-01,56
2015-04-01,49
2015-05-01,49
2015-06-01,38
2015-07-01,38
2015-08-01,37
2015-09-01,18
2015-10-01,17
2015-11-01,29
2015-12-01,30
2016-01-01,28
2016-02-01,56
2016-03-01,21
2016-04-01,25
2016-05-01,21
2016-06-01,33
2016-07-01,22
2016-08-01,16
2016-09-01,32
2016-10-01,38
2016-11-01,20
2016-12-01,31
2017-01-01,22
