date,private browsing firefox,how to browse anonymously
2011-01-01,17,1
2011-02-01,15,1
2011-03-01,19,1
2011-04-01,20,0
2011-05-01,22,1
2011-06-01,20,1
2011-07-01,18,1
2011-08-01,17,1
2011-09-01,18,1
2011-10-01,15,1
2011-11-01,15,1
2011-12-01,15,1
2012-01-01,14,1
2012-02-01,14,1
2012-03-01,14,1
2012-04-01,14,1
2012-05-01,12,1
2012-06-01,15,1
2012-07-01,15,1
2012-08-01,16,1
2012-09-01,14,1
2012-10-01,14,1
2012-11-01,14,1
2012-12-01,16,1
2013-01-01,15,1
2013-02-01,17,1
2013-03-01,15,1
2013-04-01,100,1
2013-05-01,32,1
2013-06-01,21,1
2013-07-01,19,1
2013-08-01,16,1
2013-09-01,13,1
2013-10-01,13,1
2013-11-01,11,1
2013-12-01,13,1
2014-01-01,11,1
2014-02-01,11,1
2014-03-01,10,1
2014-04-01,10,1
2014-05-01,11,1
2014-06-01,9,2
2014-07-01,9,2
2014-08-01,9,2
2014-09-01,8,1
2014-10-01,8,1
2014-11-01,8,1
2014-12-01,7,1
2015-01-01,7,1
2015-02-01,7,1
2015-03-01,6,1
2015-04-01,6,1
2015-05-01,6,1
2015-06-01,6,1
2015-07-01,6,1
2015-08-01,7,2
2015-09-01,6,2
2015-10-01,5,1
2015-11-01,12,1
2015-12-01,7,1
2016-01-01,6,1
2016-02-01,6,1
2016-03-01,5,1
2016-04-01,5,1
2016-05-01,5,1
2016-06-01,5,1
2016-07-01,5,1
2016-08-01,5,1
2016-09-01,5,1
2016-10-01,5,1
2016-11-01,5,1
2016-12-01,4,1
2017-01-01,4,1
