date,decrypt encrypted password
2011-01-01,80
2011-02-01,87
2011-03-01,78
2011-04-01,100
2011-05-01,72
2011-06-01,92
2011-07-01,97
2011-08-01,81
2011-09-01,93
2011-10-01,64
2011-11-01,66
2011-12-01,62
2012-01-01,60
2012-02-01,50
2012-03-01,70
2012-04-01,53
2012-05-01,69
2012-06-01,64
2012-07-01,67
2012-08-01,87
2012-09-01,72
2012-10-01,86
2012-11-01,63
2012-12-01,84
2013-01-01,84
2013-02-01,89
2013-03-01,66
2013-04-01,72
2013-05-01,62
2013-06-01,83
2013-07-01,90
2013-08-01,79
2013-09-01,55
2013-10-01,66
2013-11-01,52
2013-12-01,65
2014-01-01,68
2014-02-01,79
2014-03-01,79
2014-04-01,72
2014-05-01,69
2014-06-01,66
2014-07-01,83
2014-08-01,66
2014-09-01,80
2014-10-01,79
2014-11-01,68
2014-12-01,64
2015-01-01,73
2015-02-01,72
2015-03-01,67
2015-04-01,90
2015-05-01,65
2015-06-01,85
2015-07-01,86
2015-08-01,86
2015-09-01,73
2015-10-01,86
2015-11-01,52
2015-12-01,71
2016-01-01,62
2016-02-01,86
2016-03-01,69
2016-04-01,82
2016-05-01,83
2016-06-01,67
2016-07-01,70
2016-08-01,74
2016-09-01,80
2016-10-01,72
2016-11-01,77
2016-12-01,66
2017-01-01,80
