date,instagram password hack no survey,how to change instagram privacy settings
2011-01-01,0,0
2011-02-01,0,0
2011-03-01,0,0
2011-04-01,0,0
2011-05-01,0,0
2011-06-01,0,0
2011-07-01,0,0
2011-08-01,0,0
2011-09-01,0,0
2011-10-01,0,0
2011-11-01,0,0
2011-12-01,0,0
2012-01-01,0,6
2012-02-01,0,9
2012-03-01,0,13
2012-04-01,0,14
2012-05-01,0,15
2012-06-01,0,10
2012-07-01,0,13
2012-08-01,6,16
2012-09-01,0,100
2012-10-01,0,90
2012-11-01,0,52
2012-12-01,0,58
2013-01-01,0,73
2013-02-01,0,38
2013-03-01,5,50
2013-04-01,5,27
2013-05-01,11,43
2013-06-01,16,56
2013-07-01,22,54
2013-08-01,15,51
2013-09-01,10,41
2013-10-01,14,31
2013-11-01,13,24
2013-12-01,19,42
2014-01-01,22,44
2014-02-01,27,27
2014-03-01,13,33
2014-04-01,25,34
2014-05-01,21,27
2014-06-01,28,40
2014-07-01,19,50
2014-08-01,28,39
2014-09-01,27,30
2014-10-01,42,28
2014-11-01,43,18
2014-12-01,46,25
2015-01-01,87,30
2015-02-01,92,15
2015-03-01,68,18
2015-04-01,60,20
2015-05-01,55,12
2015-06-01,81,18
2015-07-01,79,28
2015-08-01,53,5
2015-09-01,54,15
2015-10-01,51,15
2015-11-01,70,10
2015-12-01,82,19
2016-01-01,85,13
2016-02-01,71,9
2016-03-01,84,10
2016-04-01,61,12
2016-05-01,67,11
2016-06-01,91,12
2016-07-01,94,21
2016-08-01,73,16
2016-09-01,68,15
2016-10-01,69,16
2016-11-01,66,14
2016-12-01,87,12
2017-01-01,87,14
