date,signal messaging app,best private messaging app
2011-01-01,0,0
2011-02-01,0,0
2011-03-01,8,0
2011-04-01,8,0
2011-05-01,8,0
2011-06-01,8,0
2011-07-01,8,0
2011-08-01,7,0
2011-09-01,7,7
2011-10-01,7,7
2011-11-01,10,7
2011-12-01,9,6
2012-01-01,9,6
2012-02-01,0,6
2012-03-01,0,6
2012-04-01,0,13
2012-05-01,0,6
2012-06-01,0,6
2012-07-01,6,6
2012-08-01,6,6
2012-09-01,6,6
2012-10-01,5,9
2012-11-01,5,7
2012-12-01,5,11
2013-01-01,0,15
2013-02-01,0,5
2013-03-01,0,8
2013-04-01,0,5
2013-05-01,0,5
2013-06-01,8,5
2013-07-01,6,10
2013-08-01,5,5
2013-09-01,5,5
2013-10-01,4,9
2013-11-01,5,9
2013-12-01,4,4
2014-01-01,4,4
2014-02-01,4,5
2014-03-01,4,8
2014-04-01,4,9
2014-05-01,4,4
2014-06-01,5,12
2014-07-01,5,9
2014-08-01,9,11
2014-09-01,4,15
2014-10-01,4,13
2014-11-01,6,12
2014-12-01,9,11
2015-01-01,5,7
2015-02-01,6,17
2015-03-01,9,8
2015-04-01,11,5
2015-05-01,12,9
2015-06-01,8,8
2015-07-01,7,12
2015-08-01,7,16
2015-09-01,6,4
2015-10-01,7,15
2015-11-01,54,9
2015-12-01,62,14
2016-01-01,33,11
2016-02-01,70,9
2016-03-01,63,12
2016-04-01,47,7
2016-05-01,37,18
2016-06-01,37,6
2016-07-01,45,7
2016-08-01,57,19
2016-09-01,88,16
2016-10-01,62,18
2016-11-01,80,18
2016-12-01,85,12
2017-01-01,100,18
