date,how to decrypt a password,best private messaging app
2011-01-01,75,0
2011-02-01,60,0
2011-03-01,74,0
2011-04-01,62,0
2011-05-01,100,0
2011-06-01,98,0
2011-07-01,92,0
2011-08-01,86,0
2011-09-01,76,2
2011-10-01,50,2
2011-11-01,45,2
2011-12-01,49,2
2012-01-01,45,2
2012-02-01,51,2
2012-03-01,42,2
2012-04-01,39,4
2012-05-01,43,2
2012-06-01,49,2
2012-07-01,47,2
2012-08-01,38,2
2012-09-01,30,2
2012-10-01,43,3
2012-11-01,48,2
2012-12-01,38,4
2013-01-01,39,5
2013-02-01,39,2
2013-03-01,43,3
2013-04-01,39,2
2013-05-01,31,2
2013-06-01,23,2
2013-07-01,34,3
2013-08-01,39,2
2013-09-01,28,2
2013-10-01,33,3
2013-11-01,37,3
2013-12-01,29,1
2014-01-01,37,1
2014-02-01,26,2
2014-03-01,26,3
2014-04-01,27,3
2014-05-01,24,1
2014-06-01,28,4
2014-07-01,27,3
2014-08-01,23,4
2014-09-01,33,5
2014-10-01,32,4
2014-11-01,30,4
2014-12-01,23,4
2015-01-01,27,2
2015-02-01,33,6
2015-03-01,32,3
2015-04-01,29,2
2015-05-01,27,3
2015-06-01,30,3
2015-07-01,30,4
2015-08-01,28,5
2015-09-01,24,1
2015-10-01,31,5
2015-11-01,23,3
2015-12-01,27,5
2016-01-01,32,4
2016-02-01,28,3
2016-03-01,31,4
2016-04-01,27,2
2016-05-01,33,6
2016-06-01,32,2
2016-07-01,32,2
2016-08-01,23,7
2016-09-01,24,5
2016-10-01,23,6
2016-11-01,32,6
2016-12-01,25,4
2017-01-01,28,6
