date,whatsapp password download,how to protect against whatsapp monitoring
2011-01-01,5,0
2011-02-01,3,0
2011-03-01,5,0
2011-04-01,5,0
2011-05-01,4,0
2011-06-01,4,0
2011-07-01,5,0
2011-08-01,6,0
2011-09-01,5,0
2011-10-01,7,0
2011-11-01,10,0
2011-12-01,7,0
2012-01-01,8,0
2012-02-01,9,0
2012-03-01,13,0
2012-04-01,6,0
2012-05-01,14,0
2012-06-01,14,0
2012-07-01,20,0
2012-08-01,12,0
2012-09-01,22,0
2012-10-01,24,0
2012-11-01,21,0
2012-12-01,27,0
2013-01-01,39,0
2013-02-01,34,0
2013-03-01,38,0
2013-04-01,37,0
2013-05-01,41,0
2013-06-01,45,0
2013-07-01,49,0
2013-08-01,59,0
2013-09-01,69,0
2013-10-01,73,0
2013-11-01,77,0
2013-12-01,84,0
2014-01-01,69,0
2014-02-01,69,0
2014-03-01,69,0
2014-04-01,64,0
2014-05-01,74,0
2014-06-01,85,0
2014-07-01,66,0
2014-08-01,82,0
2014-09-01,75,0
2014-10-01,82,0
2014-11-01,83,0
2014-12-01,84,0
2015-01-01,79,0
2015-02-01,90,0
2015-03-01,90,0
2015-04-01,91,0
2015-05-01,85,0
2015-06-01,82,0
2015-07-01,97,0
2015-08-01,87,0
2015-09-01,100,0
2015-10-01,91,0
2015-11-01,82,0
2015-12-01,87,0
2016-01-01,83,0
2016-02-01,88,0
2016-03-01,86,0
2016-04-01,63,0
2016-05-01,73,0
2016-06-01,76,0
2016-07-01,71,0
2016-08-01,81,0
2016-09-01,75,0
2016-10-01,75,0
2016-11-01,69,0
2016-12-01,68,0
2017-01-01,61,0
