date,how to change whatsapp password,how to encrypt whatsapp messages
2011-01-01,0,0
2011-02-01,7,0
2011-03-01,6,0
2011-04-01,6,0
2011-05-01,6,0
2011-06-01,6,0
2011-07-01,6,0
2011-08-01,6,0
2011-09-01,18,0
2011-10-01,6,0
2011-11-01,14,0
2011-12-01,6,0
2012-01-01,10,0
2012-02-01,11,0
2012-03-01,10,0
2012-04-01,5,0
2012-05-01,5,0
2012-06-01,5,0
2012-07-01,8,5
2012-08-01,12,5
2012-09-01,11,5
2012-10-01,7,0
2012-11-01,6,0
2012-12-01,21,0
2013-01-01,12,0
2013-02-01,25,0
2013-03-01,11,0
2013-04-01,18,0
2013-05-01,14,0
2013-06-01,11,4
2013-07-01,11,4
2013-08-01,17,4
2013-09-01,18,4
2013-10-01,23,4
2013-11-01,20,4
2013-12-01,23,4
2014-01-01,23,4
2014-02-01,34,4
2014-03-01,48,4
2014-04-01,30,4
2014-05-01,28,7
2014-06-01,25,4
2014-07-01,40,4
2014-08-01,45,8
2014-09-01,41,6
2014-10-01,33,5
2014-11-01,37,4
2014-12-01,33,5
2015-01-01,55,3
2015-02-01,50,7
2015-03-01,57,5
2015-04-01,49,3
2015-05-01,57,6
2015-06-01,51,5
2015-07-01,57,3
2015-08-01,63,3
2015-09-01,39,3
2015-10-01,57,5
2015-11-01,49,5
2015-12-01,51,5
2016-01-01,63,3
2016-02-01,60,3
2016-03-01,50,6
2016-04-01,63,100
2016-05-01,61,15
2016-06-01,70,17
2016-07-01,66,12
2016-08-01,71,8
2016-09-01,72,8
2016-10-01,69,7
2016-11-01,70,6
2016-12-01,65,12
2017-01-01,64,12
