date,crypt12 decrypt,data encryption meaning in hindi,decrypt whatsapp database crypt 12,decrypt whatsapp database crypt12 without key,decrypt whatsapp database crypt12,decrypt whatsapp database crypt8 without key,encrypted meaning in urdu,encryption meaning in gujarati,encryption meaning in marathi,encryption meaning in punjabi,end to end encryption app,end to end encryption meaning in hindi,end to end encryption means,end to end encryption software,get whatsapp password,how end to end encryption works,how to encrypt whatsapp messages,how to encrypt whatsapp,how to find hidden conversations on facebook,how to lock whatsapp chat,how to put a password on whatsapp,how to read whatsapp database on android,is whatsapp safe to use,what is secret conversations messenger,whatsapp encryption backdoor,whatsapp encryption broken,whatsapp encryption iphone,whatsapp encryption key,whatsapp encryption method,whatsapp encryption type,whatsapp lock for iphone,whatsapp password download,whatsapp security app,whatsapp security code,whatsapp security concerns,whatsapp security encryption,whatsapp security issues,whatsapp security settings,whatsapp viewer apk,whatsapp viewer crypt12,whatsapp viewer crypt8 without key,whatsapp viewer crypt8,whatsapp viewer key,Row Total
1/1/11,0,12,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,18,14,12,0,0,13,0,0,0,0,0,0,96
2/1/11,0,0,0,0,0,0,0,0,0,0,14,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,27,12,12,13,0,13,0,0,0,0,0,0,118
3/1/11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,25,18,12,12,0,0,12,0,0,0,0,0,0,103
4/1/11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,13,0,0,0,0,0,12,0,0,0,12,14,14,16,0,0,12,0,0,0,0,0,0,109
5/1/11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,11,0,0,19,0,11,0,0,0,12,0,0,0,12,14,12,20,0,0,12,0,0,0,0,0,0,140
6/1/11,0,0,0,0,0,0,0,0,0,0,0,0,12,11,19,0,0,14,0,0,25,0,0,0,0,0,12,13,0,0,13,18,25,16,0,0,11,0,0,0,0,0,0,189
7/1/11,0,0,0,0,0,0,0,0,13,0,0,0,0,11,12,0,0,18,0,0,11,0,0,0,0,0,12,11,0,0,13,22,19,24,0,0,11,0,12,0,0,0,0,189
8/1/11,0,0,0,0,0,0,0,0,0,0,0,0,0,11,12,0,0,18,0,0,11,0,0,0,0,0,0,11,0,0,15,22,12,31,0,0,11,0,11,0,0,0,12,177
9/1/11,0,11,0,0,0,0,0,0,0,0,0,0,0,10,23,0,0,21,0,0,11,0,0,0,0,0,0,11,0,0,17,14,12,35,0,11,11,0,11,0,0,0,11,209
10/1/11,0,10,0,0,0,0,0,0,0,0,0,0,0,10,16,0,0,11,0,11,11,0,0,0,0,0,0,11,0,0,12,18,10,20,0,15,11,0,11,0,0,0,11,188
11/1/11,0,10,0,0,0,0,0,0,0,0,0,0,0,9,12,0,0,11,0,0,11,0,0,0,0,0,0,11,0,0,12,35,22,24,0,17,11,0,10,0,0,0,11,206
12/1/11,0,10,0,0,0,0,10,0,0,0,0,0,0,9,16,0,0,11,0,0,14,0,0,0,0,0,0,10,0,0,12,27,10,24,11,21,11,0,10,0,0,0,11,217
1/1/12,0,10,0,0,0,0,10,0,0,0,19,0,0,9,23,0,0,11,0,0,10,0,0,0,0,0,17,10,0,0,19,35,20,31,9,11,10,0,0,0,0,0,0,254
2/1/12,0,10,0,0,0,0,10,0,0,0,0,0,0,9,10,10,0,11,0,0,10,10,9,0,0,0,12,20,0,0,17,35,35,16,9,11,10,0,0,0,0,0,0,254
3/1/12,0,10,0,0,0,0,9,0,10,0,0,0,10,9,19,9,0,11,0,0,12,0,18,0,0,0,12,10,0,0,19,53,14,24,9,11,9,9,0,0,0,0,0,287
4/1/12,0,10,0,0,0,0,9,0,0,0,0,0,0,9,10,9,0,11,0,0,14,0,9,0,0,0,12,10,0,0,13,22,15,43,19,11,10,9,0,0,0,0,0,245
5/1/12,0,9,0,0,0,0,9,9,0,0,0,0,0,9,14,9,0,11,0,0,15,0,12,0,0,0,12,15,0,0,21,61,29,24,14,13,9,9,0,0,0,0,0,304
6/1/12,0,9,0,0,0,0,9,0,0,0,0,0,0,9,19,9,10,11,0,9,17,0,15,0,0,0,12,19,0,0,26,70,25,43,9,17,9,12,0,0,0,0,9,368
7/1/12,0,9,0,0,0,0,8,0,0,0,0,0,0,9,25,9,10,11,0,8,19,0,18,0,0,0,12,24,0,0,19,109,22,39,22,19,9,15,9,0,0,0,9,434
8/1/12,0,9,0,0,0,0,8,0,0,0,0,0,0,9,29,8,10,18,0,8,18,0,9,0,0,0,17,10,0,0,28,92,25,35,9,9,22,19,9,0,0,0,9,410
9/1/12,0,9,0,0,0,0,8,0,0,0,0,0,0,9,33,8,10,18,0,8,18,0,9,0,0,0,12,10,0,0,38,66,29,39,8,9,15,9,8,0,0,0,8,381
10/1/12,0,8,0,0,0,0,8,0,0,0,0,0,7,8,14,8,8,18,0,8,17,0,8,0,0,8,12,10,0,0,19,83,34,47,8,9,11,17,8,0,0,0,8,386
11/1/12,0,8,0,0,0,0,8,0,0,0,0,0,0,8,31,0,8,7,0,8,13,0,8,0,0,8,12,10,0,8,39,109,34,70,8,9,14,8,8,0,0,0,8,444
12/1/12,0,8,0,0,0,0,8,0,8,0,0,0,0,7,46,0,8,18,0,8,8,0,12,0,0,8,12,10,0,0,50,144,45,70,8,17,25,8,8,0,0,0,8,544
1/1/13,0,8,0,0,0,0,8,0,8,0,0,0,0,7,27,0,8,14,0,8,15,0,21,0,0,8,12,8,0,0,41,179,32,70,15,11,18,8,15,0,0,0,8,549
2/1/13,0,8,0,0,0,0,11,0,8,0,0,0,0,8,36,0,8,11,0,8,20,8,16,0,0,8,12,10,0,0,49,148,49,70,8,11,11,8,8,0,0,0,0,534
3/1/13,0,8,0,0,0,0,15,0,8,0,0,0,0,11,31,0,8,7,0,8,8,8,18,0,0,8,6,8,0,0,65,153,34,58,7,11,17,10,8,0,0,0,0,515
4/1/13,0,8,0,0,0,0,8,0,10,0,9,0,0,14,38,8,8,7,8,11,15,8,21,0,0,15,6,8,8,0,43,170,37,93,15,9,13,15,8,0,0,0,0,613
5/1/13,0,7,0,0,0,0,8,0,12,0,11,0,0,7,46,8,8,11,0,15,15,7,7,0,0,7,17,8,8,0,76,196,37,77,12,11,7,7,8,0,0,0,0,633
6/1/13,0,7,0,0,0,0,8,0,13,0,17,0,0,7,51,8,8,14,0,7,11,7,14,0,0,7,12,13,8,0,113,209,25,81,15,9,20,10,8,0,0,0,0,702
7/1/13,0,7,0,0,0,0,9,0,15,0,11,0,0,9,55,9,8,7,0,7,12,8,28,0,0,7,6,8,8,0,78,209,35,85,8,9,23,15,7,0,0,0,0,683
8/1/13,0,7,0,0,0,0,11,0,7,0,9,0,0,12,63,10,8,7,0,15,12,7,14,0,0,7,6,8,7,0,143,270,59,70,7,15,25,12,11,0,0,0,0,822
9/1/13,0,7,0,0,0,0,10,0,7,0,9,0,0,14,85,11,8,7,0,7,22,7,14,0,0,7,6,15,7,7,112,344,30,66,12,15,24,11,11,0,0,0,0,875
10/1/13,0,7,0,0,0,0,10,0,7,0,9,0,0,13,89,13,8,14,0,16,37,7,23,0,0,7,17,11,7,7,113,300,57,39,9,9,19,7,7,0,0,0,8,870
11/1/13,0,7,0,0,0,0,7,0,7,0,9,0,0,13,68,14,8,14,0,14,7,7,7,0,0,7,6,11,7,0,100,309,35,62,7,15,19,14,7,0,0,0,8,789
12/1/13,0,7,0,0,0,0,14,0,7,0,9,0,0,7,102,14,8,14,0,14,7,7,17,0,0,7,6,11,7,0,147,348,57,43,14,7,29,10,7,0,0,0,8,928
1/1/14,0,7,0,0,0,0,7,6,7,0,9,0,0,6,72,7,8,18,0,11,20,7,22,0,0,7,6,11,7,0,115,331,62,93,15,13,37,13,20,0,0,0,6,943
2/1/14,0,7,0,0,0,0,7,6,8,0,11,0,0,7,80,7,8,21,0,14,18,7,37,0,0,7,6,11,8,0,123,309,92,54,31,7,31,22,11,0,0,0,8,958
3/1/14,0,6,0,0,0,0,6,6,0,0,11,0,0,6,93,7,7,14,0,16,15,6,12,0,0,6,6,22,10,0,132,318,57,70,10,7,39,13,6,0,0,0,6,907
4/1/14,0,7,0,0,0,0,10,6,0,0,6,0,0,9,117,7,7,11,0,13,18,10,22,0,0,0,6,11,12,0,128,335,59,54,7,7,29,13,13,0,0,0,12,929
5/1/14,0,7,0,0,0,0,7,6,0,0,6,0,0,13,84,7,11,21,7,14,16,14,35,0,0,0,6,8,14,7,93,318,44,43,7,7,25,32,18,0,0,0,18,888
6/1/14,0,7,0,0,0,0,8,7,0,8,17,0,0,7,93,7,8,14,0,18,8,10,35,0,0,0,12,22,14,0,102,353,35,85,7,9,15,20,8,0,0,0,15,944
7/1/14,0,7,0,0,0,0,10,7,0,0,11,0,0,14,84,7,8,14,0,15,10,10,14,0,0,0,12,10,14,0,125,314,72,66,7,9,7,20,17,0,0,0,46,930
8/1/14,0,7,0,0,0,0,7,7,0,0,9,0,0,7,100,7,16,14,0,15,17,14,24,0,0,0,12,15,15,0,154,340,60,74,7,15,10,18,12,0,0,0,49,1025
9/1/14,0,7,0,0,0,0,7,6,7,0,11,0,0,7,114,7,11,21,0,21,40,18,43,0,0,7,17,22,7,0,134,357,74,62,7,7,19,12,7,0,0,0,52,1104
10/1/14,0,7,0,0,0,0,7,6,7,0,11,0,14,6,108,7,10,14,0,33,13,13,16,0,0,7,23,10,7,0,158,322,59,70,7,9,23,16,36,0,0,0,83,1102
11/1/14,0,6,0,0,0,0,7,6,7,0,11,0,19,6,112,7,7,18,0,18,25,7,29,0,6,7,17,11,14,7,150,422,102,74,10,15,24,10,30,0,0,0,100,1284
12/1/14,0,6,0,0,0,0,7,6,7,0,9,0,7,6,121,6,14,18,0,18,22,16,22,0,0,7,12,11,7,9,132,357,84,81,18,21,22,11,16,0,0,17,98,1188
1/1/15,0,6,0,0,0,6,7,6,7,6,11,0,7,6,134,6,7,21,0,17,29,6,18,0,0,7,12,19,9,7,169,370,102,66,10,17,15,16,29,0,6,46,71,1271
