date,aes cbc decryption,aes encryption algorithm,aes encryption example,aes encryption java,are text messages private,best private messaging app,cell phone text message records,decrypt encrypted password,decrypt message,decrypt pgp file,encrypt text messages android,encrypt text online,encrypted message app,encrypted message meaning,encrypted messaging app android,encrypted text messages,how to decrypt text,most secure messaging app 2016,online decryption tool without key,signal messaging app,software to decrypt encrypted files,whatsapp encryption algorithm,whatsapp encryption key,Row Total
1/1/11,42,431,167,455,97,0,323,450,259,179,0,62,41,41,0,96,197,0,0,0,41,0,0,2881
2/1/11,39,554,325,546,129,0,213,450,550,188,0,87,45,44,0,73,193,0,0,0,39,0,0,3475
3/1/11,39,508,292,682,58,0,100,538,459,170,38,65,41,78,0,52,262,0,0,43,39,0,0,3464
4/1/11,42,547,284,473,43,0,149,594,492,167,41,43,41,40,0,42,254,0,0,43,42,0,0,3337
5/1/11,40,385,267,419,66,0,91,369,359,158,45,138,41,40,0,66,370,0,0,43,80,0,0,2977
6/1/11,40,370,217,510,54,0,171,457,275,79,49,94,41,40,0,135,177,0,0,43,120,0,42,2914
7/1/11,35,431,359,410,79,0,117,594,392,94,52,67,41,40,0,54,189,0,0,43,40,0,36,3073
8/1/11,35,454,350,391,114,0,123,475,284,200,56,112,0,38,0,94,277,0,0,37,56,0,36,3132
9/1/11,35,362,342,537,56,37,239,569,384,170,36,85,0,55,0,38,185,0,0,37,73,0,36,3276
10/1/11,35,424,334,619,87,35,113,525,417,128,35,104,0,35,0,105,212,0,0,37,52,0,36,3333
11/1/11,35,524,275,573,87,35,81,532,400,304,35,94,0,35,0,47,177,0,35,53,35,0,36,3393
12/1/11,35,485,292,501,137,31,91,375,300,104,32,70,0,35,0,70,197,0,0,48,31,0,30,2864
1/1/12,32,354,325,501,116,31,78,275,300,149,32,95,0,32,0,54,235,0,0,48,31,0,30,2718
2/1/12,32,654,359,573,66,31,130,394,484,176,33,77,33,31,0,89,224,0,0,0,33,0,65,3484
