date,Twitter privacy,privacy policy twitter
2011-01-01,29,2
2011-02-01,37,4
2011-03-01,45,2
2011-04-01,42,3
2011-05-01,93,2
2011-06-01,54,4
2011-07-01,49,1
2011-08-01,52,2
2011-09-01,51,4
2011-10-01,54,2
2011-11-01,62,3
2011-12-01,65,2
2012-01-01,62,2
2012-02-01,64,8
2012-03-01,67,3
2012-04-01,62,5
2012-05-01,54,8
2012-06-01,57,4
2012-07-01,60,2
2012-08-01,55,5
2012-09-01,81,1
2012-10-01,100,5
2012-11-01,84,4
2012-12-01,92,5
2013-01-01,90,6
2013-02-01,88,6
2013-03-01,80,5
2013-04-01,82,4
2013-05-01,82,4
2013-06-01,70,3
2013-07-01,72,3
2013-08-01,69,3
2013-09-01,71,4
2013-10-01,63,3
2013-11-01,63,4
2013-12-01,61,4
2014-01-01,66,4
2014-02-01,70,5
2014-03-01,67,5
2014-04-01,60,4
2014-05-01,59,5
2014-06-01,59,4
2014-07-01,65,3
2014-08-01,58,3
2014-09-01,63,6
2014-10-01,61,4
2014-11-01,70,8
2014-12-01,60,6
2015-01-01,59,6
2015-02-01,49,2
2015-03-01,44,5
2015-04-01,43,6
2015-05-01,37,4
2015-06-01,40,4
2015-07-01,41,4
2015-08-01,40,5
2015-09-01,46,5
2015-10-01,44,6
2015-11-01,43,5
2015-12-01,38,5
2016-01-01,39,4
2016-02-01,43,7
2016-03-01,36,5
2016-04-01,38,6
2016-05-01,26,2
2016-06-01,28,4
2016-07-01,35,5
2016-08-01,29,5
2016-09-01,30,6
2016-10-01,31,5
2016-11-01,32,5
2016-12-01,23,6
2017-01-01,33,5
