date,twitter privacy policy,privacy policy twitter
2011-01-01,25,25
2011-02-01,46,46
2011-03-01,24,24
2011-04-01,38,38
2011-05-01,29,29
2011-06-01,55,55
2011-07-01,18,18
2011-08-01,29,29
2011-09-01,55,55
2011-10-01,21,21
2011-11-01,42,42
2011-12-01,31,31
2012-01-01,24,24
2012-02-01,99,99
2012-03-01,38,38
2012-04-01,59,59
2012-05-01,100,100
2012-06-01,52,52
2012-07-01,28,28
2012-08-01,60,60
2012-09-01,14,14
2012-10-01,58,58
2012-11-01,50,50
2012-12-01,59,59
2013-01-01,80,80
2013-02-01,76,76
2013-03-01,60,60
2013-04-01,46,46
2013-05-01,52,52
2013-06-01,42,42
2013-07-01,41,41
2013-08-01,33,33
2013-09-01,47,47
2013-10-01,38,38
2013-11-01,56,56
2013-12-01,46,46
2014-01-01,46,46
2014-02-01,61,61
2014-03-01,65,65
2014-04-01,47,47
2014-05-01,57,57
2014-06-01,56,56
2014-07-01,44,44
2014-08-01,40,40
2014-09-01,80,80
2014-10-01,53,53
2014-11-01,95,95
2014-12-01,77,77
2015-01-01,73,73
2015-02-01,31,31
2015-03-01,68,68
2015-04-01,79,79
2015-05-01,46,46
2015-06-01,53,53
2015-07-01,53,53
2015-08-01,59,59
2015-09-01,66,66
2015-10-01,77,77
2015-11-01,64,64
2015-12-01,65,65
2016-01-01,53,53
2016-02-01,84,84
2016-03-01,60,60
2016-04-01,70,70
2016-05-01,26,26
2016-06-01,52,52
2016-07-01,68,68
2016-08-01,69,69
2016-09-01,80,80
2016-10-01,63,63
2016-11-01,61,61
2016-12-01,71,71
2017-01-01,67,67
