date,Twitter Rules,twitter privacy policy
2011-01-01,49,1
2011-02-01,48,1
2011-03-01,62,1
2011-04-01,58,2
2011-05-01,62,2
2011-06-01,60,1
2011-07-01,60,1
2011-08-01,58,3
2011-09-01,61,3
2011-10-01,62,2
2011-11-01,62,1
2011-12-01,50,2
2012-01-01,68,3
2012-02-01,74,2
2012-03-01,73,3
2012-04-01,83,2
2012-05-01,70,3
2012-06-01,76,2
2012-07-01,77,3
2012-08-01,81,2
2012-09-01,64,3
2012-10-01,76,2
2012-11-01,70,2
2012-12-01,63,2
2013-01-01,84,2
2013-02-01,100,4
2013-03-01,82,4
2013-04-01,83,2
2013-05-01,84,1
2013-06-01,70,2
2013-07-01,67,2
2013-08-01,65,2
2013-09-01,72,2
2013-10-01,59,2
2013-11-01,64,1
2013-12-01,58,2
2014-01-01,78,2
2014-02-01,96,3
2014-03-01,63,4
2014-04-01,65,4
2014-05-01,67,2
2014-06-01,60,2
2014-07-01,51,2
2014-08-01,59,2
2014-09-01,50,3
2014-10-01,48,3
2014-11-01,61,3
2014-12-01,53,2
2015-01-01,57,3
2015-02-01,64,2
2015-03-01,57,3
2015-04-01,56,4
2015-05-01,46,3
2015-06-01,49,2
2015-07-01,52,4
2015-08-01,46,2
2015-09-01,51,3
2015-10-01,50,4
2015-11-01,55,3
2015-12-01,46,3
2016-01-01,58,2
2016-02-01,49,3
2016-03-01,49,2
2016-04-01,50,3
2016-05-01,59,2
2016-06-01,53,2
2016-07-01,47,2
2016-08-01,46,3
2016-09-01,44,4
2016-10-01,48,3
2016-11-01,50,3
2016-12-01,44,2
2017-01-01,56,4
