date,Twitter Rules ,privacy policy twitter
2011-01-01,47,1
2011-02-01,44,2
2011-03-01,55,1
2011-04-01,51,2
2011-05-01,60,1
2011-06-01,62,2
2011-07-01,53,1
2011-08-01,54,1
2011-09-01,46,2
2011-10-01,58,1
2011-11-01,59,2
2011-12-01,53,1
2012-01-01,63,1
2012-02-01,70,4
2012-03-01,64,2
2012-04-01,77,3
2012-05-01,60,4
2012-06-01,68,2
2012-07-01,71,1
2012-08-01,72,3
2012-09-01,62,1
2012-10-01,66,3
2012-11-01,64,2
2012-12-01,56,3
2013-01-01,75,3
2013-02-01,100,3
2013-03-01,83,3
2013-04-01,72,2
2013-05-01,80,2
2013-06-01,71,2
2013-07-01,68,2
2013-08-01,64,1
2013-09-01,56,2
2013-10-01,56,2
2013-11-01,60,2
2013-12-01,55,2
2014-01-01,65,2
2014-02-01,91,3
2014-03-01,56,3
2014-04-01,60,2
2014-05-01,64,2
2014-06-01,55,2
2014-07-01,55,2
2014-08-01,57,2
2014-09-01,42,3
2014-10-01,48,2
2014-11-01,54,4
2014-12-01,47,3
2015-01-01,54,3
2015-02-01,64,1
2015-03-01,54,3
2015-04-01,51,3
2015-05-01,46,2
2015-06-01,48,2
2015-07-01,49,2
2015-08-01,41,3
2015-09-01,50,3
2015-10-01,43,3
2015-11-01,45,3
2015-12-01,48,3
2016-01-01,53,2
2016-02-01,49,4
2016-03-01,50,3
2016-04-01,46,3
2016-05-01,53,1
2016-06-01,43,2
2016-07-01,45,3
2016-08-01,38,3
2016-09-01,44,3
2016-10-01,43,3
2016-11-01,49,3
2016-12-01,41,3
2017-01-01,50,3
