date,instagram password hack app,how to delete a instagram account
2011-01-01,0,0
2011-02-01,0,0
2011-03-01,0,0
2011-04-01,0,0
2011-05-01,0,0
2011-06-01,0,0
2011-07-01,0,0
2011-08-01,0,1
2011-09-01,0,1
2011-10-01,0,1
2011-11-01,0,3
2011-12-01,0,2
2012-01-01,0,3
2012-02-01,0,3
2012-03-01,0,3
2012-04-01,0,8
2012-05-01,0,10
2012-06-01,0,14
2012-07-01,1,19
2012-08-01,2,24
2012-09-01,1,21
2012-10-01,1,22
2012-11-01,1,22
2012-12-01,1,28
2013-01-01,1,37
2013-02-01,1,40
2013-03-01,1,30
2013-04-01,2,34
2013-05-01,1,33
2013-06-01,1,52
2013-07-01,1,42
2013-08-01,2,46
2013-09-01,2,28
2013-10-01,1,32
2013-11-01,1,30
2013-12-01,1,46
2014-01-01,2,44
2014-02-01,1,41
2014-03-01,3,42
2014-04-01,3,50
2014-05-01,1,42
2014-06-01,2,50
2014-07-01,4,58
2014-08-01,3,48
2014-09-01,3,40
2014-10-01,3,39
2014-11-01,3,47
2014-12-01,5,62
2015-01-01,4,67
2015-02-01,4,56
2015-03-01,5,60
2015-04-01,5,70
2015-05-01,3,54
2015-06-01,4,60
2015-07-01,5,90
2015-08-01,6,82
2015-09-01,5,67
2015-10-01,8,63
2015-11-01,6,61
2015-12-01,6,66
2016-01-01,9,89
2016-02-01,7,72
2016-03-01,7,87
2016-04-01,7,71
2016-05-01,5,76
2016-06-01,7,95
2016-07-01,12,98
2016-08-01,11,81
2016-09-01,10,72
2016-10-01,8,79
2016-11-01,9,88
2016-12-01,14,100
2017-01-01,10,99
