date,how to delete facebook account without password,how to delete a instagram account
2011-01-01,3,0
2011-02-01,4,0
2011-03-01,4,0
2011-04-01,4,0
2011-05-01,2,0
2011-06-01,2,0
2011-07-01,7,0
2011-08-01,7,1
2011-09-01,6,1
2011-10-01,6,1
2011-11-01,8,3
2011-12-01,10,2
2012-01-01,7,3
2012-02-01,8,3
2012-03-01,8,3
2012-04-01,6,8
2012-05-01,8,10
2012-06-01,7,14
2012-07-01,9,19
2012-08-01,10,24
2012-09-01,7,21
2012-10-01,8,22
2012-11-01,7,22
2012-12-01,6,28
2013-01-01,8,37
2013-02-01,6,40
2013-03-01,8,30
2013-04-01,7,34
2013-05-01,8,33
2013-06-01,10,52
2013-07-01,9,42
2013-08-01,6,46
2013-09-01,10,28
2013-10-01,8,32
2013-11-01,10,30
2013-12-01,6,46
2014-01-01,8,44
2014-02-01,10,41
2014-03-01,10,42
2014-04-01,10,50
2014-05-01,8,42
2014-06-01,9,50
2014-07-01,11,58
2014-08-01,13,48
2014-09-01,10,40
2014-10-01,11,39
2014-11-01,11,47
2014-12-01,11,62
2015-01-01,17,67
2015-02-01,13,56
2015-03-01,11,60
2015-04-01,11,70
2015-05-01,12,54
2015-06-01,10,60
2015-07-01,15,90
2015-08-01,12,82
2015-09-01,10,67
2015-10-01,8,63
2015-11-01,11,61
2015-12-01,12,66
2016-01-01,11,89
2016-02-01,11,72
2016-03-01,14,87
2016-04-01,13,71
2016-05-01,13,76
2016-06-01,15,95
2016-07-01,16,98
2016-08-01,15,81
2016-09-01,15,72
2016-10-01,14,79
2016-11-01,15,88
2016-12-01,16,100
2017-01-01,21,99
