date,change twitter password,How to change privacy settings on twitter,privacy settings on twitter,private twitter account,twitter privacy settings,twitter privacy,Total
1/1/11,19,2,2,9,6,27,65
2/1/11,17,2,3,8,6,42,78
3/1/11,19,0,2,14,3,44,82
4/1/11,25,2,2,17,10,47,103
5/1/11,40,1,5,22,13,89,170
6/1/11,36,2,5,25,12,62,142
7/1/11,78,1,4,22,18,52,175
8/1/11,99,1,4,22,19,58,203
9/1/11,67,1,4,22,14,63,171
10/1/11,78,1,5,43,17,66,210
11/1/11,74,3,6,50,21,72,226
12/1/11,82,3,5,36,20,65,211
1/1/12,99,2,4,26,17,76,224
2/1/12,84,1,6,22,18,84,215
3/1/12,89,3,9,25,22,69,217
4/1/12,114,2,6,29,17,67,235
5/1/12,125,2,5,37,19,64,252
6/1/12,157,2,9,34,21,72,295
7/1/12,159,4,8,46,23,65,305
8/1/12,185,3,6,44,20,66,324
9/1/12,189,7,26,41,42,103,408
10/1/12,172,12,30,45,50,109,418
11/1/12,125,7,21,43,36,102,334
12/1/12,121,7,21,54,40,112,355
1/1/13,148,6,21,58,41,110,384
2/1/13,174,7,15,65,34,97,392
3/1/13,129,5,17,64,27,92,334
4/1/13,119,5,14,52,31,94,315
5/1/13,114,4,16,68,32,93,327
6/1/13,153,4,15,79,30,90,371
7/1/13,159,5,17,93,32,88,394
8/1/13,150,4,15,81,26,86,362
9/1/13,167,4,14,73,28,77,363
10/1/13,125,3,9,66,21,76,300
11/1/13,99,3,9,70,23,66,270
12/1/13,117,6,11,74,19,76,303
1/1/14,146,4,12,84,28,75,349
2/1/14,138,3,14,73,24,72,324
3/1/14,153,4,10,100,24,82,373
4/1/14,138,3,11,96,25,67,340
5/1/14,95,1,9,71,22,73,271
6/1/14,93,2,7,61,21,70,254
7/1/14,85,4,12,70,25,76,272
8/1/14,112,4,12,82,25,69,304
9/1/14,106,1,9,73,19,73,281
10/1/14,91,1,7,75,17,65,256
11/1/14,99,2,9,64,25,80,279
12/1/14,112,3,7,69,20,72,283
1/1/15,100,2,8,65,17,62,254
2/1/15,116,1,6,48,12,55,238
3/1/15,112,2,6,49,13,53,235
4/1/15,117,1,3,54,10,50,235
5/1/15,97,1,5,49,10,40,202
6/1/15,106,1,4,54,11,43,219
7/1/15,129,1,5,59,11,47,252
8/1/15,97,1,4,61,10,47,220
9/1/15,87,1,3,57,9,53,210
10/1/15,106,1,3,50,8,54,222
11/1/15,99,1,4,58,12,46,220
12/1/15,97,1,4,55,10,39,206
1/1/16,108,1,3,58,7,36,213
2/1/16,84,1,3,55,7,45,195
3/1/16,89,1,3,58,8,44,203
4/1/16,95,0,3,50,5,44,197
5/1/16,100,0,2,46,5,33,186
6/1/16,142,1,2,43,5,33,226
7/1/16,131,1,2,48,4,37,223
8/1/16,116,1,1,53,4,34,209
9/1/16,112,1,2,39,6,35,195
10/1/16,99,1,1,36,3,35,175
11/1/16,104,1,3,37,6,36,187
12/1/16,106,1,2,42,3,30,184
1/1/17,119,1,1,53,5,39,218
