date,change facebook settings,change in facebook privacy policy 2016,change in facebook privacy policy channel 13,channel 13 news facebook hoax,deadline tomorrow facebook snopes,facebook account settings wrong password,facebook acquaintance list,facebook app download for samsung,facebook app for iphone,facebook app java,facebook deadline tomorrow snopes,facebook edit friends list restricted,facebook friends list on profile,facebook friends list order,facebook friends list privacy mobile,facebook friends list privacy,facebook friends privacy settings,facebook hoax meme,facebook hoaxes snopes,facebook legal disclaimer hoax,facebook logout button missing,facebook new privacy settings 2016,facebook photo privacy settings,facebook policy change 2016,facebook privacy change 2016,facebook privacy change hoax 2016,facebook privacy change october 2016,facebook privacy change snopes,facebook privacy changes 2016 hoax,facebook privacy changes 2016,facebook privacy changes hoax,facebook privacy changes july 2016,facebook privacy changes june 2016,facebook privacy changes october 2016,facebook privacy hoax 2016,facebook privacy hoax october 2016,facebook privacy hoax snopes,facebook privacy notice,facebook privacy policy 2016,facebook privacy policy change 2016,facebook privacy settings 2015,facebook privacy settings change,facebook privacy settings explained,facebook privacy settings friends list,facebook privacy settings guide,facebook privacy settings photos,facebook privacy snopes,facebook privacy statement,facebook profile friends list order meaning,facebook public entity 2016,facebook restricted list edit,facebook restricted list,facebook search by city,facebook search by email,facebook search by phone number,facebook search for people without logging in,facebook search friends by phone number,facebook settings language,facebook settings page,facebook sign up gmail account,facebook sign up new person,facebook tagged photos privacy,facebook view tracker,fb logout button,google account change password,google account settings,how can i hide friends list on facebook,how can i hide my friend list on facebook in mobile,how can i hide my friends list on facebook mobile,how others see my facebook mobile,how to add someone to restricted list on facebook,how to block people from seeing tagged photos on facebook,how to block tagged photos on facebook,how to change facebook privacy settings,how to create friends list on facebook app,how to delete facebook friends fast,how to delete feeds on facebook,how to delete friends list on facebook,how to edit custom list on facebook app,how to edit friends list on facebook mobile,how to hide albums on facebook,how to hide friend list on facebook from mobile,how to hide friend list on facebook from public,how to hide friends list in facebook,how to hide friends list on facebook 2016,how to hide friends list on facebook mobile,how to hide friends list on facebook samsung,how to hide friends on facebook 2016,how to hide friends on facebook android,how to hide friends on facebook from other friends,how to hide friends on facebook iphone,how to hide friends on facebook mobile,how to hide mutual friends on facebook,how to hide one friend on facebook,how to hide photos of you on facebook,how to hide photos on facebook from everyone,how to hide photos on facebook from public,how to hide photos on facebook,how to hide tagged photos on facebook timeline,how to hide tagged photos on facebook,how to make a post public on facebook,how to make friends list private on facebook android,how to make my profile picture private on facebook,how to make profile picture unclickable,how to make tagged photos private on facebook,how to privacy on facebook,how to see what your facebook profile looks like to others on mobile,how to see who viewed your facebook profile wikianswers,instagram login with facebook,internet memes 2016,internet privacy definition,internet privacy essay,internet privacy issues,internet privacy protection,internet privacy software,is it true about facebook privacy,is the facebook privacy post real 2015,limited profile facebook,old facebook sign in,online privacy issues,personal privacy definition,personal privacy on the internet,personal privacy,privacy definition law,privacy meaning,privacy options,privacy settings facebook,privacy settings google,reset facebook settings,search facebook without account,snopes facebook 2016,snopes facebook charging 2016,snopes facebook privacy 2016,snopes facebook see who viewed your profile,specific friends on facebook,top 9 friends on facebook,verisign class 3 secure server ca  g3,verisign india,verisign reston,verisign symantec,verisign wiki,view my whatsapp profile,visit the new facebook hoax,wants to share with you on facebook,what does my facebook look like to non friends mobile,what is online privacy,what is privacy,where is verisign located,who can see my friends on facebook mobile,who can see my profile on facebook,who has viewed my facebook profile,who viewed my facebook profile app for android,who viewed my facebook profile the most,Row Total
1/1/11,180,0,0,0,0,0,2,10,295,60,0,0,71,52,0,27,27,0,0,0,0,0,19,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,37,4,7,5,18,9,0,0,0,0,5,63,210,39,218,3,9,46,69,2,7,46,3,39,87,12,0,0,0,0,0,5,21,0,7,0,16,0,0,7,0,0,20,0,0,0,0,3,10,3,2,5,6,2,2,0,49,0,19,0,0,3,6,2,120,0,0,0,0,4,2,23,10,9,0,0,285,42,8,7,5,228,6,26,29,282,17,40,22,0,0,0,0,12,0,5,13,2,27,13,0,0,0,0,17,389,0,0,42,33,0,5,3594
2/1/11,205,0,0,0,0,0,0,17,300,56,0,0,55,71,0,17,31,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,2,6,2,11,5,4,0,0,0,5,67,243,36,129,4,9,64,55,4,4,37,2,43,96,17,0,0,0,0,0,2,12,0,4,3,14,0,0,7,0,0,24,0,0,0,0,2,7,9,2,10,7,4,0,0,52,0,11,0,0,3,4,3,104,0,0,0,0,8,5,36,19,21,0,0,270,37,12,3,6,223,11,47,26,263,17,29,16,0,0,0,0,13,0,10,11,4,16,12,0,0,0,0,15,412,0,0,30,29,0,4,3536
3/1/11,188,0,0,0,0,0,0,12,295,60,0,0,62,86,0,16,18,0,2,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,2,4,2,14,5,6,0,0,0,3,63,252,37,18,6,9,61,55,9,7,30,3,43,110,18,0,0,0,0,0,5,22,2,9,2,13,0,0,9,0,0,23,0,0,0,0,2,6,6,6,2,6,2,0,0,43,0,13,0,0,3,3,3,107,0,0,0,0,7,4,31,14,19,0,0,228,23,13,7,4,250,7,37,31,257,20,30,6,0,0,0,0,10,0,4,12,2,19,11,0,0,0,0,18,439,0,0,34,33,2,2,3410
4/1/11,163,0,0,0,0,0,0,17,327,67,0,2,84,118,0,16,28,2,2,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,2,7,3,14,0,6,0,0,0,5,68,270,36,16,4,9,61,123,5,4,27,3,48,105,19,0,0,0,0,0,2,14,2,10,2,15,0,2,5,0,0,26,0,2,0,0,2,5,5,2,11,3,2,0,0,39,0,11,0,0,4,5,4,126,0,0,2,0,5,3,28,13,13,0,0,264,34,19,8,5,240,11,36,33,288,20,24,11,0,0,0,2,12,0,13,12,2,20,8,0,0,0,0,24,400,2,0,25,37,0,3,3611
5/1/11,196,0,0,0,0,0,0,23,322,67,0,2,119,130,0,16,22,0,2,0,2,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,3,7,2,11,0,4,2,0,0,5,64,273,31,14,6,11,59,137,6,4,37,4,39,91,21,0,0,0,0,0,4,17,2,9,2,24,0,2,8,0,0,27,0,2,0,0,4,7,7,5,12,7,5,0,0,58,0,15,0,0,3,4,2,91,0,0,0,0,8,4,22,13,16,0,0,288,27,12,8,4,235,9,29,30,282,17,30,13,0,0,0,2,9,0,4,12,4,24,15,0,3,0,0,14,412,2,0,34,40,0,4,3713
6/1/11,230,0,0,0,0,0,0,23,327,75,0,2,126,154,0,23,34,0,2,0,2,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,31,2,11,3,14,0,4,2,0,2,5,74,261,47,18,3,11,67,205,13,5,17,2,34,110,15,0,0,0,0,0,2,22,2,6,2,21,0,2,9,0,0,50,0,2,0,0,4,11,6,2,11,6,3,0,0,56,0,21,0,0,3,3,5,110,0,0,0,0,4,2,27,12,17,0,0,297,41,10,6,2,208,11,36,29,288,20,34,15,0,0,0,0,11,2,6,9,2,14,14,2,4,0,0,10,362,2,2,37,25,0,3,3892
7/1/11,417,0,0,0,0,0,0,36,411,119,0,2,109,140,0,23,31,0,2,0,2,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,28,0,12,3,11,5,4,4,0,2,3,63,279,38,18,4,6,72,273,13,5,14,2,53,137,18,0,0,0,0,2,8,20,2,13,2,17,0,2,10,0,0,44,0,2,2,0,4,7,6,3,14,8,4,0,0,71,0,24,4,0,10,6,2,107,0,0,0,0,4,2,17,8,7,0,0,304,34,8,8,2,213,10,40,29,244,42,36,20,0,0,0,0,13,2,6,15,2,23,13,2,2,0,0,6,334,2,2,21,21,0,2,4260
8/1/11,271,0,0,0,0,0,2,34,379,100,0,2,141,169,2,26,35,0,4,0,2,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,11,4,23,5,5,5,0,2,3,67,264,47,18,5,15,73,273,16,12,21,2,53,141,30,0,0,0,0,2,6,29,2,19,3,26,0,2,13,0,0,48,0,2,2,0,2,7,8,4,16,6,4,0,2,81,0,21,0,0,4,5,3,155,0,0,0,0,5,2,14,7,12,0,0,267,42,7,4,6,183,8,40,39,357,30,35,21,0,0,0,0,13,2,7,13,2,22,12,0,5,0,0,13,345,2,2,35,26,0,2,4374
9/1/11,371,0,0,0,0,0,12,31,374,108,0,2,110,183,2,34,57,0,5,0,2,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0,0,102,0,12,2,59,5,3,4,0,3,49,63,234,51,9,5,17,71,169,19,32,30,3,53,123,35,0,2,0,2,3,27,60,2,16,2,27,0,2,13,0,2,74,0,3,0,0,4,8,13,5,13,6,5,2,2,183,0,94,0,0,8,8,12,300,0,0,0,0,9,2,21,10,12,0,0,200,46,9,2,5,223,12,53,34,625,42,39,22,0,0,0,0,18,3,8,7,3,19,6,0,4,0,0,12,400,2,2,38,32,0,5,5315
10/1/11,296,0,0,0,0,0,12,46,516,108,0,2,89,103,2,28,45,0,2,0,2,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,81,0,9,2,41,0,3,2,0,7,96,50,210,44,7,6,13,58,114,11,42,7,3,58,137,19,0,2,2,2,7,33,55,2,37,2,21,0,2,10,2,2,44,0,3,0,0,2,11,10,2,15,6,6,2,4,177,3,103,0,0,5,9,16,271,0,0,2,0,3,5,27,12,12,0,0,152,32,14,8,5,203,14,44,33,469,23,50,9,0,0,0,0,20,2,8,8,2,20,13,0,2,0,0,12,384,0,2,33,15,0,4,4822
