date,CHANGE MY PASSWORD,youtube private channel
2011-01-01,44,1
2011-02-01,42,1
2011-03-01,40,1
2011-04-01,41,1
2011-05-01,53,1
2011-06-01,53,1
2011-07-01,57,1
2011-08-01,58,1
2011-09-01,60,1
2011-10-01,73,1
2011-11-01,53,1
2011-12-01,57,2
2012-01-01,58,2
2012-02-01,52,2
2012-03-01,49,2
2012-04-01,51,2
2012-05-01,52,2
2012-06-01,62,1
2012-07-01,67,2
2012-08-01,62,2
2012-09-01,63,2
2012-10-01,57,1
2012-11-01,59,2
2012-12-01,63,2
2013-01-01,67,2
2013-02-01,67,2
2013-03-01,64,2
2013-04-01,59,2
2013-05-01,56,2
2013-06-01,64,2
2013-07-01,63,2
2013-08-01,65,3
2013-09-01,66,2
2013-10-01,62,2
2013-11-01,63,2
2013-12-01,71,2
2014-01-01,72,2
2014-02-01,71,2
2014-03-01,68,2
2014-04-01,93,2
2014-05-01,79,2
2014-06-01,72,1
2014-07-01,75,2
2014-08-01,79,1
2014-09-01,83,1
2014-10-01,73,1
2014-11-01,75,2
2014-12-01,76,2
2015-01-01,79,2
2015-02-01,73,2
2015-03-01,71,2
2015-04-01,71,2
2015-05-01,70,2
2015-06-01,75,1
2015-07-01,79,2
2015-08-01,81,2
2015-09-01,78,2
2015-10-01,79,1
2015-11-01,77,1
2015-12-01,81,1
2016-01-01,82,2
2016-02-01,76,1
2016-03-01,75,2
2016-04-01,77,2
2016-05-01,84,2
2016-06-01,85,2
2016-07-01,90,1
2016-08-01,93,2
2016-09-01,99,2
2016-10-01,92,2
2016-11-01,90,1
2016-12-01,100,2
2017-01-01,93,2
