date,how to hack a gmail account password easily,google hangouts privacy
2011-01-01,0,0
2011-02-01,0,0
2011-03-01,29,0
2011-04-01,32,0
2011-05-01,29,0
2011-06-01,61,0
2011-07-01,30,0
2011-08-01,28,0
2011-09-01,28,0
2011-10-01,39,0
2011-11-01,32,27
2011-12-01,32,24
2012-01-01,32,24
2012-02-01,50,36
2012-03-01,47,48
2012-04-01,33,25
2012-05-01,91,23
2012-06-01,36,24
2012-07-01,39,24
2012-08-01,46,48
2012-09-01,34,43
2012-10-01,45,43
2012-11-01,56,21
2012-12-01,42,22
2013-01-01,38,20
2013-02-01,21,22
2013-03-01,38,19
2013-04-01,38,29
2013-05-01,37,44
2013-06-01,57,59
2013-07-01,31,57
2013-08-01,37,45
2013-09-01,43,19
2013-10-01,26,36
2013-11-01,35,48
2013-12-01,47,48
2014-01-01,33,45
2014-02-01,27,56
2014-03-01,32,100
2014-04-01,22,51
2014-05-01,28,78
2014-06-01,19,45
2014-07-01,46,56
2014-08-01,55,50
2014-09-01,58,72
2014-10-01,25,63
2014-11-01,17,17
2014-12-01,56,40
2015-01-01,32,70
2015-02-01,63,47
2015-03-01,36,43
2015-04-01,24,41
2015-05-01,31,74
2015-06-01,47,38
2015-07-01,23,58
2015-08-01,31,53
2015-09-01,20,72
2015-10-01,33,49
2015-11-01,29,60
2015-12-01,25,30
2016-01-01,28,44
2016-02-01,33,48
2016-03-01,26,53
2016-04-01,36,28
2016-05-01,31,34
2016-06-01,27,21
2016-07-01,23,42
2016-08-01,36,34
2016-09-01,27,50
2016-10-01,29,47
2016-11-01,38,39
2016-12-01,38,52
2017-01-01,48,29
