date,instagram password hack no survey
2011-01-01,0
2011-02-01,0
2011-03-01,0
2011-04-01,0
2011-05-01,0
2011-06-01,0
2011-07-01,0
2011-08-01,0
2011-09-01,0
2011-10-01,0
2011-11-01,0
2011-12-01,0
2012-01-01,0
2012-02-01,0
2012-03-01,0
2012-04-01,0
2012-05-01,0
2012-06-01,0
2012-07-01,0
2012-08-01,6
2012-09-01,0
2012-10-01,0
2012-11-01,0
2012-12-01,0
2013-01-01,0
2013-02-01,0
2013-03-01,5
2013-04-01,7
2013-05-01,5
2013-06-01,8
2013-07-01,12
2013-08-01,18
2013-09-01,10
2013-10-01,17
2013-11-01,14
2013-12-01,14
2014-01-01,25
2014-02-01,25
2014-03-01,15
2014-04-01,30
2014-05-01,14
2014-06-01,29
2014-07-01,23
2014-08-01,20
2014-09-01,27
2014-10-01,36
2014-11-01,42
2014-12-01,52
2015-01-01,90
2015-02-01,85
2015-03-01,75
2015-04-01,81
2015-05-01,56
2015-06-01,100
2015-07-01,69
2015-08-01,57
2015-09-01,66
2015-10-01,55
2015-11-01,67
2015-12-01,92
2016-01-01,81
2016-02-01,71
2016-03-01,75
2016-04-01,69
2016-05-01,56
2016-06-01,81
2016-07-01,96
2016-08-01,61
2016-09-01,74
2016-10-01,68
2016-11-01,73
2016-12-01,82
2017-01-01,88
