date,whatsapp password download
2011-01-01,3
2011-02-01,4
2011-03-01,5
2011-04-01,3
2011-05-01,4
2011-06-01,5
2011-07-01,3
2011-08-01,4
2011-09-01,4
2011-10-01,3
2011-11-01,11
2011-12-01,7
2012-01-01,8
2012-02-01,12
2012-03-01,12
2012-04-01,8
2012-05-01,12
2012-06-01,15
2012-07-01,17
2012-08-01,16
2012-09-01,16
2012-10-01,25
2012-11-01,25
2012-12-01,23
2013-01-01,38
2013-02-01,37
2013-03-01,36
2013-04-01,43
2013-05-01,38
2013-06-01,45
2013-07-01,51
2013-08-01,58
2013-09-01,82
2013-10-01,70
2013-11-01,65
2013-12-01,80
2014-01-01,78
2014-02-01,71
2014-03-01,74
2014-04-01,70
2014-05-01,69
2014-06-01,91
2014-07-01,74
2014-08-01,79
2014-09-01,89
2014-10-01,78
2014-11-01,89
2014-12-01,86
2015-01-01,85
2015-02-01,95
2015-03-01,93
2015-04-01,95
2015-05-01,87
2015-06-01,87
2015-07-01,100
2015-08-01,93
2015-09-01,98
2015-10-01,93
2015-11-01,83
2015-12-01,94
2016-01-01,87
2016-02-01,77
2016-03-01,87
2016-04-01,60
2016-05-01,74
2016-06-01,72
2016-07-01,71
2016-08-01,74
2016-09-01,74
2016-10-01,75
2016-11-01,71
2016-12-01,66
2017-01-01,63
