date,incognito browsing,most private browser
2011-01-01,23,3
2011-02-01,29,3
2011-03-01,29,2
2011-04-01,28,0
2011-05-01,29,3
2011-06-01,35,2
2011-07-01,41,3
2011-08-01,39,2
2011-09-01,42,3
2011-10-01,37,2
2011-11-01,38,1
2011-12-01,49,2
2012-01-01,41,4
2012-02-01,48,5
2012-03-01,43,5
2012-04-01,42,3
2012-05-01,43,4
2012-06-01,39,2
2012-07-01,57,2
2012-08-01,52,4
2012-09-01,48,2
2012-10-01,43,2
2012-11-01,53,0
2012-12-01,57,3
2013-01-01,64,2
2013-02-01,61,5
2013-03-01,59,3
2013-04-01,77,4
2013-05-01,65,3
2013-06-01,73,4
2013-07-01,74,3
2013-08-01,72,4
2013-09-01,69,2
2013-10-01,64,3
2013-11-01,73,4
2013-12-01,71,5
2014-01-01,78,3
2014-02-01,74,2
2014-03-01,77,3
2014-04-01,78,3
2014-05-01,76,5
2014-06-01,79,4
2014-07-01,91,6
2014-08-01,81,5
2014-09-01,81,5
2014-10-01,90,7
2014-11-01,83,4
2014-12-01,89,6
2015-01-01,100,4
2015-02-01,97,4
2015-03-01,87,4
2015-04-01,88,4
2015-05-01,81,4
2015-06-01,87,4
2015-07-01,83,5
2015-08-01,87,5
2015-09-01,92,4
2015-10-01,93,5
2015-11-01,91,8
2015-12-01,85,4
2016-01-01,87,6
2016-02-01,85,4
2016-03-01,89,4
2016-04-01,83,5
2016-05-01,78,4
2016-06-01,83,6
2016-07-01,88,5
2016-08-01,82,5
2016-09-01,84,4
2016-10-01,77,5
2016-11-01,83,5
2016-12-01,85,5
2017-01-01,77,6
