date,how to delete facebook account without password and email
2011-01-01,0
2011-02-01,24
2011-03-01,22
2011-04-01,22
2011-05-01,22
2011-06-01,22
2011-07-01,22
2011-08-01,21
2011-09-01,19
2011-10-01,19
2011-11-01,19
2011-12-01,19
2012-01-01,18
2012-02-01,18
2012-03-01,17
2012-04-01,17
2012-05-01,17
2012-06-01,25
2012-07-01,34
2012-08-01,33
2012-09-01,33
2012-10-01,15
2012-11-01,15
2012-12-01,23
2013-01-01,42
2013-02-01,15
2013-03-01,14
2013-04-01,14
2013-05-01,31
2013-06-01,49
2013-07-01,13
2013-08-01,13
2013-09-01,13
2013-10-01,13
2013-11-01,13
2013-12-01,13
2014-01-01,12
2014-02-01,26
2014-03-01,18
2014-04-01,24
2014-05-01,24
2014-06-01,14
2014-07-01,39
2014-08-01,47
2014-09-01,19
2014-10-01,30
2014-11-01,56
2014-12-01,18
2015-01-01,17
2015-02-01,43
2015-03-01,34
2015-04-01,40
2015-05-01,22
2015-06-01,23
2015-07-01,17
2015-08-01,28
2015-09-01,44
2015-10-01,36
2015-11-01,32
2015-12-01,27
2016-01-01,10
2016-02-01,25
2016-03-01,29
2016-04-01,39
2016-05-01,38
2016-06-01,44
2016-07-01,90
2016-08-01,53
2016-09-01,68
2016-10-01,64
2016-11-01,60
2016-12-01,18
2017-01-01,100
