date,google account change password,how to change facebook privacy settings
2011-01-01,8,4
2011-02-01,9,3
2011-03-01,9,5
2011-04-01,10,3
2011-05-01,8,4
2011-06-01,7,5
2011-07-01,11,4
2011-08-01,11,6
2011-09-01,11,13
2011-10-01,12,12
2011-11-01,13,10
2011-12-01,15,9
2012-01-01,13,8
2012-02-01,13,11
2012-03-01,12,9
2012-04-01,13,11
2012-05-01,14,10
2012-06-01,18,9
2012-07-01,18,9
2012-08-01,19,16
2012-09-01,18,21
2012-10-01,16,19
2012-11-01,18,14
2012-12-01,19,13
2013-01-01,18,11
2013-02-01,19,10
2013-03-01,17,10
2013-04-01,16,9
2013-05-01,19,9
2013-06-01,18,10
2013-07-01,19,11
2013-08-01,20,9
2013-09-01,23,10
2013-10-01,21,10
2013-11-01,20,8
2013-12-01,26,8
2014-01-01,29,8
2014-02-01,27,6
2014-03-01,25,7
2014-04-01,42,8
2014-05-01,27,8
2014-06-01,29,8
2014-07-01,33,7
2014-08-01,34,10
2014-09-01,40,7
2014-10-01,32,8
2014-11-01,30,6
2014-12-01,36,6
2015-01-01,37,7
2015-02-01,34,6
2015-03-01,39,6
2015-04-01,45,7
2015-05-01,48,7
2015-06-01,50,7
2015-07-01,54,7
2015-08-01,55,8
2015-09-01,57,6
2015-10-01,58,5
2015-11-01,55,7
2015-12-01,67,7
2016-01-01,67,7
2016-02-01,68,6
2016-03-01,68,6
2016-04-01,60,5
2016-05-01,71,5
2016-06-01,76,6
2016-07-01,87,7
2016-08-01,95,7
2016-09-01,86,6
2016-10-01,93,6
2016-11-01,90,5
2016-12-01,100,5
2017-01-01,100,6
