date,change twitter password
2011-01-01,7
2011-02-01,11
2011-03-01,10
2011-04-01,16
2011-05-01,19
2011-06-01,18
2011-07-01,46
2011-08-01,54
2011-09-01,35
2011-10-01,40
2011-11-01,40
2011-12-01,46
2012-01-01,53
2012-02-01,44
2012-03-01,47
2012-04-01,61
2012-05-01,67
2012-06-01,76
2012-07-01,79
2012-08-01,93
2012-09-01,100
2012-10-01,91
2012-11-01,64
2012-12-01,62
2013-01-01,82
2013-02-01,90
2013-03-01,68
2013-04-01,61
2013-05-01,60
2013-06-01,73
2013-07-01,80
2013-08-01,69
2013-09-01,80
2013-10-01,65
2013-11-01,49
2013-12-01,59
2014-01-01,72
2014-02-01,69
2014-03-01,77
2014-04-01,76
2014-05-01,49
2014-06-01,51
2014-07-01,47
2014-08-01,56
2014-09-01,56
2014-10-01,47
2014-11-01,45
2014-12-01,58
2015-01-01,52
2015-02-01,63
2015-03-01,57
2015-04-01,58
2015-05-01,50
2015-06-01,53
2015-07-01,61
2015-08-01,47
2015-09-01,46
2015-10-01,52
2015-11-01,50
2015-12-01,49
2016-01-01,52
2016-02-01,43
2016-03-01,46
2016-04-01,52
2016-05-01,49
2016-06-01,76
2016-07-01,69
2016-08-01,62
2016-09-01,56
2016-10-01,50
2016-11-01,55
2016-12-01,56
2017-01-01,60
