date,instagram permissions,instagram privacy policy
2011-01-01,0,0
2011-02-01,2,0
2011-03-01,0,0
2011-04-01,0,0
2011-05-01,0,0
2011-06-01,2,2
2011-07-01,0,2
2011-08-01,2,0
2011-09-01,2,0
2011-10-01,0,2
2011-11-01,0,2
2011-12-01,2,2
2012-01-01,2,0
2012-02-01,3,2
2012-03-01,0,1
2012-04-01,6,3
2012-05-01,3,1
2012-06-01,6,0
2012-07-01,4,2
2012-08-01,5,1
2012-09-01,4,4
2012-10-01,5,3
2012-11-01,4,3
2012-12-01,5,100
2013-01-01,4,30
2013-02-01,5,13
2013-03-01,5,13
2013-04-01,4,8
2013-05-01,5,8
2013-06-01,4,4
2013-07-01,6,6
2013-08-01,7,6
2013-09-01,5,10
2013-10-01,7,11
2013-11-01,4,6
2013-12-01,9,24
2014-01-01,5,13
2014-02-01,5,4
2014-03-01,3,65
2014-04-01,5,10
2014-05-01,2,7
2014-06-01,3,10
2014-07-01,3,8
2014-08-01,7,7
2014-09-01,9,8
2014-10-01,8,6
2014-11-01,6,8
2014-12-01,5,11
2015-01-01,3,12
2015-02-01,4,7
2015-03-01,6,10
2015-04-01,6,6
2015-05-01,6,6
2015-06-01,4,4
2015-07-01,6,6
2015-08-01,7,6
2015-09-01,8,9
2015-10-01,7,8
2015-11-01,10,11
2015-12-01,8,10
2016-01-01,12,8
2016-02-01,8,15
2016-03-01,11,11
2016-04-01,11,9
2016-05-01,11,8
2016-06-01,15,18
2016-07-01,12,15
2016-08-01,10,13
2016-09-01,13,15
2016-10-01,13,9
2016-11-01,10,14
2016-12-01,10,11
2017-01-01,11,15
