date,twitter privacy,private twitter account
2011-01-01,24,8
2011-02-01,37,7
2011-03-01,39,13
2011-04-01,42,15
2011-05-01,80,20
2011-06-01,55,23
2011-07-01,46,20
2011-08-01,52,20
2011-09-01,56,20
2011-10-01,59,39
2011-11-01,64,45
2011-12-01,58,33
2012-01-01,68,24
2012-02-01,75,20
2012-03-01,62,23
2012-04-01,60,26
2012-05-01,57,34
2012-06-01,64,31
2012-07-01,58,41
2012-08-01,59,40
2012-09-01,92,37
2012-10-01,98,41
2012-11-01,91,39
2012-12-01,100,48
2013-01-01,99,53
2013-02-01,87,59
2013-03-01,82,58
2013-04-01,84,47
2013-05-01,83,62
2013-06-01,81,71
2013-07-01,79,84
2013-08-01,77,73
2013-09-01,69,66
2013-10-01,68,60
2013-11-01,59,63
2013-12-01,68,67
2014-01-01,67,76
2014-02-01,64,66
2014-03-01,73,90
2014-04-01,60,87
2014-05-01,65,64
2014-06-01,63,55
2014-07-01,68,63
2014-08-01,62,75
2014-09-01,65,66
2014-10-01,58,68
2014-11-01,72,58
2014-12-01,64,62
2015-01-01,55,59
2015-02-01,49,44
2015-03-01,47,45
2015-04-01,45,49
2015-05-01,36,45
2015-06-01,38,49
2015-07-01,42,53
2015-08-01,42,55
2015-09-01,47,52
2015-10-01,48,45
2015-11-01,41,52
2015-12-01,35,50
2016-01-01,32,52
2016-02-01,40,49
2016-03-01,39,52
2016-04-01,39,45
2016-05-01,29,42
2016-06-01,29,39
2016-07-01,33,44
2016-08-01,30,48
2016-09-01,31,35
2016-10-01,31,32
2016-11-01,32,33
2016-12-01,27,38
2017-01-01,35,48
