date,change twitter password,private twitter account
2011-01-01,9,5
2011-02-01,11,3
2011-03-01,10,7
2011-04-01,15,9
2011-05-01,18,10
2011-06-01,18,13
2011-07-01,40,11
2011-08-01,50,10
2011-09-01,38,12
2011-10-01,42,26
2011-11-01,39,28
2011-12-01,46,20
2012-01-01,49,14
2012-02-01,42,14
2012-03-01,52,14
2012-04-01,64,15
2012-05-01,67,22
2012-06-01,82,17
2012-07-01,78,23
2012-08-01,100,22
2012-09-01,98,20
2012-10-01,94,27
2012-11-01,65,24
2012-12-01,64,29
2013-01-01,85,34
2013-02-01,91,37
2013-03-01,71,31
2013-04-01,62,29
2013-05-01,60,35
2013-06-01,79,40
2013-07-01,82,51
2013-08-01,77,39
2013-09-01,92,40
2013-10-01,66,34
2013-11-01,55,40
2013-12-01,64,39
2014-01-01,77,44
2014-02-01,71,38
2014-03-01,75,50
2014-04-01,75,50
2014-05-01,52,38
2014-06-01,49,36
2014-07-01,52,38
2014-08-01,58,41
2014-09-01,57,39
2014-10-01,49,33
2014-11-01,51,37
2014-12-01,62,35
2015-01-01,54,35
2015-02-01,64,27
2015-03-01,58,27
2015-04-01,59,28
2015-05-01,50,24
2015-06-01,59,27
2015-07-01,64,31
2015-08-01,52,29
2015-09-01,49,29
2015-10-01,55,25
2015-11-01,50,29
2015-12-01,50,29
2016-01-01,53,30
2016-02-01,47,28
2016-03-01,50,32
2016-04-01,55,28
2016-05-01,56,26
2016-06-01,75,23
2016-07-01,72,25
2016-08-01,61,26
2016-09-01,56,22
2016-10-01,51,20
2016-11-01,57,22
2016-12-01,55,24
2017-01-01,62,25
