date,Twitter Privacy,twitter privacy policy
2011-01-01,27,3
2011-02-01,39,3
2011-03-01,42,4
2011-04-01,49,3
2011-05-01,85,4
2011-06-01,56,2
2011-07-01,50,3
2011-08-01,54,4
2011-09-01,51,3
2011-10-01,55,3
2011-11-01,73,1
2011-12-01,62,3
2012-01-01,63,2
2012-02-01,67,6
2012-03-01,66,5
2012-04-01,61,4
2012-05-01,57,6
2012-06-01,56,3
2012-07-01,57,2
2012-08-01,59,3
2012-09-01,84,4
2012-10-01,99,4
2012-11-01,89,4
2012-12-01,100,4
2013-01-01,94,6
2013-02-01,88,5
2013-03-01,88,6
2013-04-01,76,4
2013-05-01,82,3
2013-06-01,71,3
2013-07-01,74,4
2013-08-01,72,3
2013-09-01,70,4
2013-10-01,68,2
2013-11-01,60,6
2013-12-01,66,3
2014-01-01,67,3
2014-02-01,69,6
2014-03-01,68,5
2014-04-01,66,5
2014-05-01,60,4
2014-06-01,52,4
2014-07-01,62,5
2014-08-01,66,3
2014-09-01,65,6
2014-10-01,61,4
2014-11-01,67,5
2014-12-01,56,4
2015-01-01,60,7
2015-02-01,54,2
2015-03-01,52,6
2015-04-01,43,5
2015-05-01,39,6
2015-06-01,39,3
2015-07-01,37,4
2015-08-01,45,5
2015-09-01,48,5
2015-10-01,41,7
2015-11-01,45,5
2015-12-01,39,6
2016-01-01,33,4
2016-02-01,40,6
2016-03-01,36,4
2016-04-01,35,6
2016-05-01,27,3
2016-06-01,26,5
2016-07-01,29,5
2016-08-01,29,6
2016-09-01,30,5
2016-10-01,32,4
2016-11-01,31,6
2016-12-01,23,4
2017-01-01,36,7
