date,Twitter privacy policy,twitter privacy policy
2011-01-01,37,37
2011-02-01,46,46
2011-03-01,55,55
2011-04-01,44,44
2011-05-01,62,62
2011-06-01,28,28
2011-07-01,50,50
2011-08-01,54,54
2011-09-01,46,46
2011-10-01,43,43
2011-11-01,12,12
2011-12-01,43,43
2012-01-01,28,28
2012-02-01,94,94
2012-03-01,71,71
2012-04-01,52,52
2012-05-01,91,91
2012-06-01,39,39
2012-07-01,27,27
2012-08-01,38,38
2012-09-01,59,59
2012-10-01,59,59
2012-11-01,55,55
2012-12-01,59,59
2013-01-01,81,81
2013-02-01,74,74
2013-03-01,93,93
2013-04-01,62,62
2013-05-01,48,48
2013-06-01,45,45
2013-07-01,53,53
2013-08-01,44,44
2013-09-01,56,56
2013-10-01,33,33
2013-11-01,82,82
2013-12-01,37,37
2014-01-01,46,46
2014-02-01,81,81
2014-03-01,80,80
2014-04-01,71,71
2014-05-01,55,55
2014-06-01,57,57
2014-07-01,68,68
2014-08-01,43,43
2014-09-01,82,82
2014-10-01,55,55
2014-11-01,72,72
2014-12-01,59,59
2015-01-01,100,100
2015-02-01,32,32
2015-03-01,90,90
2015-04-01,75,75
2015-05-01,84,84
2015-06-01,44,44
2015-07-01,58,58
2015-08-01,72,72
2015-09-01,71,71
2015-10-01,97,97
2015-11-01,79,79
2015-12-01,80,80
2016-01-01,56,56
2016-02-01,85,85
2016-03-01,59,59
2016-04-01,82,82
2016-05-01,40,40
2016-06-01,76,76
2016-07-01,71,71
2016-08-01,94,94
2016-09-01,68,68
2016-10-01,62,62
2016-11-01,87,87
2016-12-01,54,54
2017-01-01,95,95
