date,delete account instagram,delete instagram account permanently link,delete my facebook account right now,delete my instagram account,delete your account page instagram,delete your account page,deleted instagram account recovery,hack instagram app,how do i deactivate my facebook account,how do instagram accounts get hacked,how to activate an inactive instagram account,how to deactivate instagram on iphone,how to deactivate instagram temporarily,how to deactivate snapchat,how to delete a instagram account,how to delete an instagram account without the password or email,how to delete facebook account forever,how to delete facebook account permanently immediately,how to delete facebook account without password,how to delete fb account permanently from mobile,how to delete instagram account 2016,how to delete instagram account on iphone app,how to delete instagram account on iphone,how to delete instagram account on phone,how to delete instagram account permanently from mobile,how to figure out someones instagram password,how to find out someones password on instagram,how to hack an instagram account no download,how to hack back into my instagram account,how to hack someones instagram without their password,how to reactivate instagram account back,how to reactivate instagram account,how to reactivate instagram,how to recover deleted instagram photos,how to reset instagram password without email,i temporarily disabled my instagram,instagram account hacked and deleted,instagram account hacked email changed,instagram account,instagram deactivate,instagram delete account page,instagram delete,instagram deleted my account,instagram hacked email changed,instagram help center hacked account,instagram password hack app,instagram password hack no survey,instagram password hacker,my instagram was deleted,recover hacked instagram account,recover instagram account without email,reset instagram password using facebook,someone hacked my instagram and changed my password and email,temporarily disable instagram
2011-01-01,0,0,0,3,0,8,0,0,20,0,0,0,0,0,0,0,51,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-02-01,0,0,0,0,0,5,0,0,15,0,0,0,0,0,0,0,42,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-03-01,0,0,0,0,0,5,0,0,14,0,0,0,0,0,0,0,49,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2011-04-01,0,0,0,0,0,10,0,0,17,0,0,0,0,0,0,0,56,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-05-01,0,0,0,0,0,12,0,0,16,0,0,0,0,0,0,0,50,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-06-01,20,0,1,0,0,7,0,1,18,0,0,0,0,0,0,0,63,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0
2011-07-01,20,0,1,3,0,10,0,1,24,0,0,0,0,0,0,0,75,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,50,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0
2011-08-01,20,0,1,3,0,10,0,1,66,0,0,0,0,0,1,0,113,8,7,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,50,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0
2011-09-01,20,0,1,0,0,10,0,1,54,0,0,1,0,0,1,0,42,11,6,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,50,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0
2011-10-01,20,0,1,6,0,8,0,1,45,0,0,0,0,0,1,0,21,12,6,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,50,0,1,34,0,0,0,0,0,0,0,0,0,0,0,0
2011-11-01,40,0,1,6,0,8,0,1,51,0,0,0,0,0,3,0,17,12,8,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,50,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0
2011-12-01,40,0,1,6,0,11,0,1,52,0,0,0,0,0,2,0,18,29,10,0,0,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,100,10,0,100,0,0,0,0,0,0,0,0,0,0,0,0
2012-01-01,60,0,1,8,0,11,0,1,49,0,0,0,0,0,3,0,31,28,7,0,0,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,150,10,0,167,1,0,0,0,0,0,1,0,0,0,0,0
2012-02-01,60,0,1,8,0,7,0,1,41,0,0,0,0,0,3,0,22,25,8,0,0,0,1,1,0,1,0,0,0,0,0,1,2,0,0,0,0,0,150,10,0,167,1,0,0,0,0,0,1,0,0,0,0,0
2012-03-01,80,0,1,16,0,6,0,2,45,0,0,0,0,0,3,0,38,15,8,0,0,0,4,1,0,1,0,0,0,0,0,1,2,1,0,0,0,0,200,10,0,234,2,0,0,0,0,1,1,0,0,0,0,1
2012-04-01,260,0,1,27,0,7,0,2,58,0,0,0,0,0,8,0,27,4,6,0,0,2,5,1,0,1,0,0,0,0,0,4,8,2,0,0,0,0,550,37,1,667,3,0,0,0,0,1,2,0,0,0,0,1
2012-05-01,220,0,1,27,1,11,0,2,43,0,0,2,1,0,10,0,29,5,8,0,0,2,7,1,0,1,1,0,0,0,0,3,4,1,0,0,0,0,500,28,1,667,3,0,0,0,0,1,2,0,0,0,0,1
2012-06-01,280,0,1,29,1,10,0,5,51,0,1,1,1,0,14,0,18,6,7,0,0,2,5,1,0,1,1,0,0,0,2,1,8,2,1,0,0,0,650,46,1,901,5,0,0,0,0,1,1,0,0,0,0,1
2012-07-01,300,0,1,35,1,9,0,3,43,0,1,1,1,0,19,0,24,4,9,0,0,2,5,1,0,1,1,0,0,0,1,2,10,2,1,0,1,0,750,64,2,1134,2,0,0,1,0,2,1,1,0,0,0,1
2012-08-01,280,0,1,35,1,9,0,4,24,0,1,3,3,0,24,0,17,7,10,0,0,1,4,1,0,1,1,1,0,0,1,3,11,3,1,0,0,0,800,91,1,1267,5,1,0,2,1,1,1,0,0,0,0,1
2012-09-01,300,0,1,29,1,12,0,3,29,0,1,2,2,1,21,0,7,4,7,0,0,1,9,3,0,1,1,1,0,0,1,7,11,1,1,0,0,0,850,82,1,1134,3,0,0,1,0,2,1,0,0,1,0,1
2012-10-01,320,0,1,37,1,9,0,4,50,0,1,1,2,2,22,0,17,5,8,1,0,1,9,2,0,1,1,1,0,1,1,4,11,1,1,0,0,0,900,91,2,1200,3,0,0,1,0,1,2,0,0,1,0,1
2012-11-01,320,1,1,45,2,7,0,5,37,0,1,3,3,5,22,0,16,7,7,0,0,1,11,2,0,2,1,1,0,1,1,4,9,1,1,0,0,0,1000,110,1,1367,4,0,0,1,0,1,2,0,0,1,0,2
