date,change email password,how to delete a google account
2011-01-01,25,4
2011-02-01,28,4
2011-03-01,27,4
2011-04-01,31,4
2011-05-01,42,5
2011-06-01,36,6
2011-07-01,39,7
2011-08-01,40,6
2011-09-01,36,8
2011-10-01,42,7
2011-11-01,40,6
2011-12-01,42,7
2012-01-01,43,9
2012-02-01,41,6
2012-03-01,40,6
2012-04-01,45,6
2012-05-01,40,6
2012-06-01,53,7
2012-07-01,50,8
2012-08-01,45,9
2012-09-01,44,8
2012-10-01,41,6
2012-11-01,40,7
2012-12-01,45,8
2013-01-01,51,8
2013-02-01,55,8
2013-03-01,51,7
2013-04-01,49,8
2013-05-01,44,9
2013-06-01,51,9
2013-07-01,48,11
2013-08-01,47,10
2013-09-01,46,10
2013-10-01,45,10
2013-11-01,46,11
2013-12-01,48,12
2014-01-01,53,12
2014-02-01,55,13
2014-03-01,51,12
2014-04-01,64,11
2014-05-01,55,11
2014-06-01,54,11
2014-07-01,56,12
2014-08-01,54,12
2014-09-01,56,11
2014-10-01,47,10
2014-11-01,48,11
2014-12-01,53,11
2015-01-01,50,10
2015-02-01,50,9
2015-03-01,50,9
2015-04-01,47,10
2015-05-01,49,10
2015-06-01,53,10
2015-07-01,56,11
2015-08-01,61,12
2015-09-01,58,11
2015-10-01,57,10
2015-11-01,57,10
2015-12-01,63,11
2016-01-01,64,13
2016-02-01,55,10
2016-03-01,56,10
2016-04-01,58,11
2016-05-01,62,11
2016-06-01,64,10
2016-07-01,69,14
2016-08-01,74,13
2016-09-01,88,11
2016-10-01,81,12
2016-11-01,75,11
2016-12-01,100,13
2017-01-01,83,13
