date,PokemonGo permissions,PokemonGo privacy,Privacy policy Pokemon Go,Total
1/1/11,0,0,0,0
2/1/11,0,0,0,0
3/1/11,0,0,0,0
4/1/11,0,0,0,0
5/1/11,0,0,0,0
6/1/11,0,0,0,0
7/1/11,0,0,0,0
8/1/11,0,0,0,0
9/1/11,0,0,0,0
10/1/11,0,0,0,0
11/1/11,0,0,0,0
12/1/11,0,0,0,0
1/1/12,0,0,0,0
2/1/12,0,0,0,0
3/1/12,0,0,0,0
4/1/12,0,0,0,0
5/1/12,0,0,0,0
6/1/12,0,0,0,0
7/1/12,0,0,0,0
8/1/12,0,0,0,0
9/1/12,0,0,0,0
10/1/12,0,0,0,0
11/1/12,0,0,0,0
12/1/12,0,0,0,0
1/1/13,0,0,0,0
2/1/13,0,0,0,0
3/1/13,0,0,0,0
4/1/13,0,0,0,0
5/1/13,0,0,0,0
6/1/13,0,0,0,0
7/1/13,0,0,0,0
8/1/13,0,0,0,0
9/1/13,0,0,0,0
10/1/13,0,0,0,0
11/1/13,0,0,0,0
12/1/13,0,0,0,0
1/1/14,0,0,0,0
2/1/14,0,0,0,0
3/1/14,0,0,0,0
4/1/14,0,0,0,0
5/1/14,0,0,0,0
6/1/14,0,0,0,0
7/1/14,0,0,0,0
8/1/14,0,0,0,0
9/1/14,0,0,0,0
10/1/14,0,0,0,0
11/1/14,0,0,0,0
12/1/14,0,0,0,0
1/1/15,0,0,0,0
2/1/15,0,0,0,0
3/1/15,0,0,0,0
4/1/15,0,0,0,0
5/1/15,0,0,0,0
6/1/15,0,0,0,0
7/1/15,0,0,0,0
8/1/15,0,0,0,0
9/1/15,0,0,3,3
10/1/15,0,0,0,0
11/1/15,0,0,0,0
12/1/15,0,0,0,0
1/1/16,0,0,0,0
2/1/16,0,0,0,0
3/1/16,0,0,0,0
4/1/16,0,0,0,0
5/1/16,0,0,0,0
6/1/16,0,0,0,0
7/1/16,9,31,100,140
8/1/16,5,8,32,45
9/1/16,3,0,10,13
10/1/16,2,0,5,7
11/1/16,0,0,2,2
12/1/16,0,2,6,8
1/1/17,2,0,3,5
