date,google account change password
2011-01-01,10
2011-02-01,10
2011-03-01,10
2011-04-01,11
2011-05-01,8
2011-06-01,9
2011-07-01,14
2011-08-01,12
2011-09-01,12
2011-10-01,13
2011-11-01,12
2011-12-01,15
2012-01-01,14
2012-02-01,13
2012-03-01,10
2012-04-01,13
2012-05-01,15
2012-06-01,16
2012-07-01,20
2012-08-01,19
2012-09-01,18
2012-10-01,19
2012-11-01,19
2012-12-01,20
2013-01-01,18
2013-02-01,21
2013-03-01,19
2013-04-01,18
2013-05-01,20
2013-06-01,18
2013-07-01,20
2013-08-01,21
2013-09-01,23
2013-10-01,23
2013-11-01,22
2013-12-01,28
2014-01-01,28
2014-02-01,29
2014-03-01,27
2014-04-01,46
2014-05-01,29
2014-06-01,28
2014-07-01,33
2014-08-01,36
2014-09-01,40
2014-10-01,33
2014-11-01,32
2014-12-01,37
2015-01-01,38
2015-02-01,36
2015-03-01,40
2015-04-01,43
2015-05-01,50
2015-06-01,51
2015-07-01,53
2015-08-01,52
2015-09-01,58
2015-10-01,59
2015-11-01,57
2015-12-01,67
2016-01-01,69
2016-02-01,73
2016-03-01,66
2016-04-01,62
2016-05-01,73
2016-06-01,78
2016-07-01,88
2016-08-01,97
2016-09-01,92
2016-10-01,91
2016-11-01,94
2016-12-01,100
2017-01-01,100
