date,instagram password cracker,how to change instagram privacy settings
2011-01-01,0,0
2011-02-01,0,0
2011-03-01,0,0
2011-04-01,0,0
2011-05-01,0,0
2011-06-01,0,0
2011-07-01,0,0
2011-08-01,0,0
2011-09-01,0,0
2011-10-01,0,0
2011-11-01,0,0
2011-12-01,0,0
2012-01-01,0,6
2012-02-01,0,9
2012-03-01,0,13
2012-04-01,19,14
2012-05-01,8,15
2012-06-01,6,10
2012-07-01,19,13
2012-08-01,12,16
2012-09-01,6,100
2012-10-01,14,90
2012-11-01,9,52
2012-12-01,6,58
2013-01-01,7,73
2013-02-01,8,38
2013-03-01,25,50
2013-04-01,15,27
2013-05-01,18,43
2013-06-01,25,56
2013-07-01,10,54
2013-08-01,31,51
2013-09-01,18,41
2013-10-01,12,31
2013-11-01,24,24
2013-12-01,22,42
2014-01-01,15,44
2014-02-01,14,27
2014-03-01,11,33
2014-04-01,18,34
2014-05-01,33,27
2014-06-01,37,40
2014-07-01,50,50
2014-08-01,24,39
2014-09-01,23,30
2014-10-01,31,28
2014-11-01,38,18
2014-12-01,66,25
2015-01-01,39,30
2015-02-01,26,15
2015-03-01,25,18
2015-04-01,32,20
2015-05-01,33,12
2015-06-01,34,18
2015-07-01,29,28
2015-08-01,34,5
2015-09-01,44,15
2015-10-01,34,15
2015-11-01,30,10
2015-12-01,32,19
2016-01-01,31,13
2016-02-01,31,9
2016-03-01,51,10
2016-04-01,23,12
2016-05-01,27,11
2016-06-01,34,12
2016-07-01,44,21
2016-08-01,43,16
2016-09-01,41,15
2016-10-01,53,16
2016-11-01,40,14
2016-12-01,40,12
2017-01-01,39,14
