date,anonymous search engines,search without history
2011-01-01,17,50
2011-02-01,11,31
2011-03-01,12,42
2011-04-01,10,41
2011-05-01,8,40
2011-06-01,21,23
2011-07-01,14,57
2011-08-01,15,38
2011-09-01,11,45
2011-10-01,9,37
2011-11-01,16,45
2011-12-01,12,40
2012-01-01,23,42
2012-02-01,19,47
2012-03-01,14,52
2012-04-01,26,36
2012-05-01,14,46
2012-06-01,10,46
2012-07-01,16,51
2012-08-01,17,53
2012-09-01,17,53
2012-10-01,14,63
2012-11-01,14,44
2012-12-01,14,38
2013-01-01,14,53
2013-02-01,17,60
2013-03-01,20,59
2013-04-01,17,57
2013-05-01,15,38
2013-06-01,19,73
2013-07-01,27,76
2013-08-01,16,77
2013-09-01,19,69
2013-10-01,15,50
2013-11-01,35,67
2013-12-01,17,61
2014-01-01,16,71
2014-02-01,22,70
2014-03-01,19,54
2014-04-01,16,53
2014-05-01,13,60
2014-06-01,23,52
2014-07-01,17,83
2014-08-01,17,58
2014-09-01,12,75
2014-10-01,24,97
2014-11-01,14,56
2014-12-01,24,72
2015-01-01,21,83
2015-02-01,10,60
2015-03-01,8,70
2015-04-01,10,72
2015-05-01,9,78
2015-06-01,7,74
2015-07-01,13,80
2015-08-01,12,80
2015-09-01,18,96
2015-10-01,12,71
2015-11-01,17,74
2015-12-01,9,92
2016-01-01,10,84
2016-02-01,10,88
2016-03-01,13,82
2016-04-01,10,100
2016-05-01,9,76
2016-06-01,13,87
2016-07-01,7,87
2016-08-01,9,88
2016-09-01,5,78
2016-10-01,13,79
2016-11-01,11,85
2016-12-01,12,74
2017-01-01,9,95
